#,Pick,Name,Pos,Team,Overall,Std.,High,Low,Times
1,1.01,LaDainian Tomlinson,RB,NYJ,1.2,0,0.12,0.12,533
2,1.02,Steven Jackson,RB,LAR,2.2,0,0.12,0.12,421
3,1.03,Larry Johnson,RB,MIA,3.5,0,0.12,0.12,248
4,1.05,Frank Gore,RB,NYJ,4.6,0,0.12,0.12,417
5,1.05,Joseph Addai,RB,FA,4.9,0,0.12,0.12,504
6,1.06,Shaun Alexander,RB,FA,6.3,0,0.12,0.12,466
7,1.08,Brian Westbrook,RB,FA,7.8,0,0.12,0.12,409
8,1.08,Willie Parker,RB,WAS,8.3,0,0.12,0.12,453
9,1.1,Rudi Johnson,RB,DET,9.8,0,0.12,0.12,419
10,1.1,Reggie Bush,RB,SF,10,0,0.12,0.12,438
11,1.1,Peyton Manning,QB,DEN,10.2,0,0.12,0.12,420
12,1.12,Travis Henry,RB,FA,12.4,0,0.12,0.12,473
13,1.12,Laurence Maroney,RB,DEN,12.5,0,0.12,0.12,504
14,2.03,Willis McGahee,RB,FA,15,0,0.12,0.12,406
15,2.04,Steve Smith,WR,BAL,16.2,0,0.12,0.12,386
16,2.05,Chad Johnson,WR,FA,16.7,0,0.12,0.12,439
17,2.06,Marvin Harrison,WR,IND,18,0,0.12,0.12,421
18,2.06,Maurice Jones-Drew,RB,LV,18.5,0,0.12,0.12,425
19,2.08,Terrell Owens,WR,FA,19.8,0,0.12,0.12,446
20,2.09,Ronnie Brown,RB,LAC,21,0,0.12,0.12,326
21,2.1,Edgerrin James,RB,FA,22.3,0,0.12,0.12,425
22,2.11,Reggie Wayne,WR,NE,22.5,0,0.12,0.12,432
23,2.12,Thomas Jones,RB,KC,24,0,0.12,0.12,379
24,2.12,Torry Holt,WR,FA,24.4,0,0.12,0.12,311
25,3.01,Cedric Benson,RB,GB,24.6,0,0.12,0.12,470
26,3.01,Carson Palmer,QB,ARI,24.9,0,0.12,0.12,421
27,3.03,Larry Fitzgerald,WR,ARI,27.1,0,0.12,0.12,438
28,3.04,Roy Williams,WR,CHI,28.1,0,0.12,0.12,441
29,3.04,Brandon Jacobs,RB,SF,28.4,0,0.12,0.12,497
30,3.08,T.J. Houshmandzadeh,WR,FA,31.9,0,0.12,0.12,356
31,3.08,Clinton Portis,RB,WAS,32,0,0.12,0.12,344
32,3.08,Drew Brees,QB,NO,32.1,0,0.12,0.12,463
33,3.09,Tom Brady,QB,TB,32.8,0,0.12,0.12,369
34,3.1,Javon Walker,WR,MIN,34.2,0,0.12,0.12,394
35,3.11,Anquan Boldin,WR,BUF,35.1,0,0.12,0.12,438
36,3.12,Antonio Gates,TE,LAC,35.5,0,0.12,0.12,333
37,4.02,Marques Colston,WR,NO,38,0,0.12,0.12,419
38,4.03,Andre Johnson,WR,IND,39.2,0,0.12,0.12,459
39,4.04,Marshawn Lynch,RB,SEA,40.4,0,0.12,0.12,363
40,4.05,Marc Bulger,QB,BAL,40.6,0,0.12,0.12,326
41,4.05,Lee Evans,WR,JAX,41.2,0,0.12,0.12,504
42,4.05,Deuce McAllister,RB,NO,41.3,0,0.12,0.12,452
43,4.07,Adrian Peterson,RB,WAS,43.2,0,0.12,0.12,497
44,4.07,Donald Driver,WR,GB,43.3,0,0.12,0.12,353
45,4.08,Randy Moss,WR,SF,43.6,0,0.12,0.12,271
46,4.09,Carnell Williams,RB,FA,44.6,0,0.12,0.12,452
47,4.09,Donovan McNabb,QB,MIN,44.9,0,0.12,0.12,373
48,5.01,Plaxico Burress,WR,PIT,49.3,0,0.12,0.12,346
49,5.02,Marion Barber,RB,CHI,50.1,0,0.12,0.12,386
50,5.03,Ahman Green,RB,GB,51.3,0,0.12,0.12,517
51,5.04,Hines Ward,WR,PIT,52.4,0,0.12,0.12,363
52,5.05,Calvin Johnson,WR,DET,52.8,0,0.12,0.12,270
53,5.05,Reggie Brown,WR,TB,52.9,0,0.12,0.12,396
54,5.07,Deion Branch,WR,NE,55.1,0,0.12,0.12,346
55,5.08,Jamal Lewis,RB,FA,56.2,0,0.12,0.12,438
56,5.1,Laveranues Coles,WR,NYJ,57.5,0,0.12,0.12,316
57,5.1,Jerious Norwood,RB,LAR,57.5,0,0.12,0.12,310
58,5.12,Jon Kitna,QB,DAL,60,0,0.12,0.12,307
59,6.01,Santana Moss,WR,WAS,61.2,0,0.12,0.12,315
60,6.03,DeAngelo Williams,RB,PIT,62.8,0,0.12,0.12,252
61,6.03,Vincent Jackson,WR,TB,62.9,0,0.12,0.12,570
62,6.04,Tony Gonzalez,TE,ATL,63.8,0,0.12,0.12,190
63,6.04,Darrell Jackson,WR,DEN,64.4,0,0.12,0.12,290
64,6.06,Vernon Davis,TE,WAS,65.6,0,0.12,0.12,197
65,6.06,Braylon Edwards,WR,SF,65.8,0,0.12,0.12,347
66,6.06,Tatum Bell,RB,DEN,66.3,0,0.12,0.12,374
67,6.06,Julius Jones,RB,NO,66.5,0,0.12,0.12,347
68,6.09,Matt Hasselbeck,QB,IND,68.6,0,0.12,0.12,158
69,6.1,Jeremy Shockey,TE,CAR,70.3,0,0.12,0.12,160
70,6.11,Todd Heap,TE,ARI,71.1,0,0.12,0.12,202
71,6.12,Brandon Jackson,RB,CLE,71.5,0,0.12,0.12,440
72,6.12,Ladell Betts,RB,NO,71.8,0,0.12,0.12,325
73,6.12,Chris Chambers,WR,KC,71.9,0,0.12,0.12,197
74,7.03,Joey Galloway,WR,NE,74.5,0,0.12,0.12,303
75,7.03,Donte Stallworth,WR,FA,74.8,0,0.12,0.12,261
76,7.03,Philip Rivers,QB,IND,75.4,0,0.12,0.12,416
77,7.04,LaMont Jordan,RB,DEN,76.3,0,0.12,0.12,492
78,7.05,Baltimore Defense,DEF,BAL,77.2,0,0.12,0.12,495
79,7.06,Kellen Winslow,TE,FA,77.6,0,0.12,0.12,262
80,7.06,Tony Romo,QB,DAL,78.1,0,0.12,0.12,437
81,7.06,Chicago Defense,DEF,CHI,78.2,0,0.12,0.12,540
82,7.07,Mark Clayton,WR,LAR,79.2,0,0.12,0.12,265
83,7.09,Bernard Berrian,WR,MIN,80.6,0,0.12,0.12,471
84,7.11,Jerricho Cotchery,WR,CAR,82.8,0,0.12,0.12,333
85,7.12,Chester Taylor,RB,ARI,83.9,0,0.12,0.12,234
86,7.12,Chris Cooley,TE,WAS,84.3,0,0.12,0.12,283
87,8.01,Fred Taylor,RB,NE,84.6,0,0.12,0.12,391
88,8.04,Terry Glenn,WR,FA,87.5,0,0.12,0.12,182
89,8.04,Vince Young,QB,FA,88.5,0,0.12,0.12,397
90,8.06,Matt Leinart,QB,LV,89.5,0,0.12,0.12,390
91,8.06,Santonio Holmes,WR,FA,89.9,0,0.12,0.12,516
