"Pick","Name","Pos","Team","Overall","Std.","High","Low","Times","Pos_ADP"
1.01,"ladainian tomlinson","RB","NYJ",1.2,0,0.12,0.12,533,1
1.02,"steven jackson","RB","LAR",2.2,0,0.12,0.12,421,2
1.03,"larry johnson","RB","MIA",3.5,0,0.12,0.12,248,3
1.05,"frank gore","RB","NYJ",4.6,0,0.12,0.12,417,4
1.05,"joseph addai","RB","FA",4.9,0,0.12,0.12,504,5
1.06,"shaun alexander","RB","FA",6.3,0,0.12,0.12,466,6
1.08,"brian westbrook","RB","FA",7.8,0,0.12,0.12,409,7
1.08,"willie parker","RB","WAS",8.3,0,0.12,0.12,453,8
1.1,"rudi johnson","RB","DET",9.8,0,0.12,0.12,419,9
1.1,"reggie bush","RB","SF",10,0,0.12,0.12,438,10
1.1,"peyton manning","QB","DEN",10.2,0,0.12,0.12,420,1
1.12,"travis henry","RB","FA",12.4,0,0.12,0.12,473,11
1.12,"laurence maroney","RB","DEN",12.5,0,0.12,0.12,504,12
2.03,"willis mcgahee","RB","FA",15,0,0.12,0.12,406,13
2.04,"steve smith","WR","BAL",16.2,0,0.12,0.12,386,1
2.05,"chad johnson","WR","FA",16.7,0,0.12,0.12,439,2
2.06,"marvin harrison","WR","IND",18,0,0.12,0.12,421,3
2.06,"maurice jones-drew","RB","LV",18.5,0,0.12,0.12,425,14
2.08,"terrell owens","WR","FA",19.8,0,0.12,0.12,446,4
2.09,"ronnie brown","RB","LAC",21,0,0.12,0.12,326,15
2.1,"edgerrin james","RB","FA",22.3,0,0.12,0.12,425,16
2.11,"reggie wayne","WR","NE",22.5,0,0.12,0.12,432,5
2.12,"thomas jones","RB","KC",24,0,0.12,0.12,379,17
2.12,"torry holt","WR","FA",24.4,0,0.12,0.12,311,6
3.01,"cedric benson","RB","GB",24.6,0,0.12,0.12,470,18
3.01,"carson palmer","QB","ARI",24.9,0,0.12,0.12,421,2
3.03,"larry fitzgerald","WR","ARI",27.1,0,0.12,0.12,438,7
3.04,"roy williams","WR","CHI",28.1,0,0.12,0.12,441,8
3.04,"brandon jacobs","RB","SF",28.4,0,0.12,0.12,497,19
3.08,"t.j. houshmandzadeh","WR","FA",31.9,0,0.12,0.12,356,9
3.08,"clinton portis","RB","WAS",32,0,0.12,0.12,344,20
3.08,"drew brees","QB","NO",32.1,0,0.12,0.12,463,3
3.09,"tom brady","QB","TB",32.8,0,0.12,0.12,369,4
3.1,"javon walker","WR","MIN",34.2,0,0.12,0.12,394,10
3.11,"anquan boldin","WR","BUF",35.1,0,0.12,0.12,438,11
3.12,"antonio gates","TE","LAC",35.5,0,0.12,0.12,333,1
4.02,"marques colston","WR","NO",38,0,0.12,0.12,419,12
4.03,"andre johnson","WR","IND",39.2,0,0.12,0.12,459,13
4.04,"marshawn lynch","RB","SEA",40.4,0,0.12,0.12,363,21
4.05,"marc bulger","QB","BAL",40.6,0,0.12,0.12,326,5
4.05,"lee evans","WR","JAX",41.2,0,0.12,0.12,504,14
4.05,"deuce mcallister","RB","NO",41.3,0,0.12,0.12,452,22
4.07,"adrian peterson","RB","WAS",43.2,0,0.12,0.12,497,23
4.07,"donald driver","WR","GB",43.3,0,0.12,0.12,353,15
4.08,"randy moss","WR","SF",43.6,0,0.12,0.12,271,16
4.09,"carnell williams","RB","FA",44.6,0,0.12,0.12,452,24
4.09,"donovan mcnabb","QB","MIN",44.9,0,0.12,0.12,373,6
5.01,"plaxico burress","WR","PIT",49.3,0,0.12,0.12,346,17
5.02,"marion barber","RB","CHI",50.1,0,0.12,0.12,386,25
5.03,"ahman green","RB","GB",51.3,0,0.12,0.12,517,26
5.04,"hines ward","WR","PIT",52.4,0,0.12,0.12,363,18
5.05,"calvin johnson","WR","DET",52.8,0,0.12,0.12,270,19
5.05,"reggie brown","WR","TB",52.9,0,0.12,0.12,396,20
5.07,"deion branch","WR","NE",55.1,0,0.12,0.12,346,21
5.08,"jamal lewis","RB","FA",56.2,0,0.12,0.12,438,27
5.1,"laveranues coles","WR","NYJ",57.5,0,0.12,0.12,316,22
5.1,"jerious norwood","RB","LAR",57.5,0,0.12,0.12,310,28
5.12,"jon kitna","QB","DAL",60,0,0.12,0.12,307,7
6.01,"santana moss","WR","WAS",61.2,0,0.12,0.12,315,23
6.03,"deangelo williams","RB","PIT",62.8,0,0.12,0.12,252,29
6.03,"vincent jackson","WR","TB",62.9,0,0.12,0.12,570,24
6.04,"tony gonzalez","TE","ATL",63.8,0,0.12,0.12,190,2
6.04,"darrell jackson","WR","DEN",64.4,0,0.12,0.12,290,25
6.06,"vernon davis","TE","WAS",65.6,0,0.12,0.12,197,3
6.06,"braylon edwards","WR","SF",65.8,0,0.12,0.12,347,26
6.06,"tatum bell","RB","DEN",66.3,0,0.12,0.12,374,30
6.06,"julius jones","RB","NO",66.5,0,0.12,0.12,347,31
6.09,"matt hasselbeck","QB","IND",68.6,0,0.12,0.12,158,8
6.1,"jeremy shockey","TE","CAR",70.3,0,0.12,0.12,160,4
6.11,"todd heap","TE","ARI",71.1,0,0.12,0.12,202,5
6.12,"brandon jackson","RB","CLE",71.5,0,0.12,0.12,440,32
6.12,"ladell betts","RB","NO",71.8,0,0.12,0.12,325,33
6.12,"chris chambers","WR","KC",71.9,0,0.12,0.12,197,27
7.03,"joey galloway","WR","NE",74.5,0,0.12,0.12,303,28
7.03,"donte stallworth","WR","FA",74.8,0,0.12,0.12,261,29
7.03,"philip rivers","QB","IND",75.4,0,0.12,0.12,416,9
7.04,"lamont jordan","RB","DEN",76.3,0,0.12,0.12,492,34
7.05,"baltimore defense","DEF","BAL",77.2,0,0.12,0.12,495,1
7.06,"kellen winslow","TE","FA",77.6,0,0.12,0.12,262,6
7.06,"tony romo","QB","DAL",78.1,0,0.12,0.12,437,10
7.06,"chicago defense","DEF","CHI",78.2,0,0.12,0.12,540,2
7.07,"mark clayton","WR","LAR",79.2,0,0.12,0.12,265,30
7.09,"bernard berrian","WR","MIN",80.6,0,0.12,0.12,471,31
7.11,"jerricho cotchery","WR","CAR",82.8,0,0.12,0.12,333,32
7.12,"chester taylor","RB","ARI",83.9,0,0.12,0.12,234,35
7.12,"chris cooley","TE","WAS",84.3,0,0.12,0.12,283,7
8.01,"fred taylor","RB","NE",84.6,0,0.12,0.12,391,36
8.04,"terry glenn","WR","FA",87.5,0,0.12,0.12,182,33
8.04,"vince young","QB","FA",88.5,0,0.12,0.12,397,11
8.06,"matt leinart","QB","LV",89.5,0,0.12,0.12,390,12
8.06,"santonio holmes","WR","FA",89.9,0,0.12,0.12,516,34
8.08,"new england defense","DEF","NE",91.5,0,0.12,0.12,227,3
8.09,"alge crumpler","TE","NE",93.2,0,0.12,0.12,225,8
8.09,"devery henderson","WR","FA",93.3,0,0.12,0.12,323,35
8.09,"deshaun foster","RB","SF",93.4,0,0.12,0.12,375,37
8.1,"kevin jones","RB","CHI",93.8,0,0.12,0.12,95,38
8.11,"la chargers defense","DEF","LAC",94.7,0,0.12,0.12,206,4
8.12,"michael turner","RB","FA",96.2,0,0.12,0.12,126,39
9.01,"lendale white","RB","DEN",97,0,0.12,0.12,305,40
9.01,"greg jennings","WR","MIA",97.1,0,0.12,0.12,236,36
9.02,"jason witten","TE","LV",97.9,0,0.12,0.12,235,9
9.02,"d.j. hackett","WR","WAS",98.2,0,0.12,0.12,297,37
9.02,"jay cutler","QB","MIA",98.5,0,0.12,0.12,251,13
9.04,"kevin curtis","WR","PHI",100.1,0,0.12,0.12,354,38
9.06,"warrick dunn","RB","TB",101.8,0,0.12,0.12,272,41
9.11,"eli manning","QB","NYG",107.5,0,0.12,0.12,296,14
9.12,"jerry porter","WR","JAX",107.6,0,0.12,0.12,275,39
9.12,"joe horn","WR","FA",108.1,0,0.12,0.12,160,40
10.01,"drew bennett","WR","LAR",109,0,0.12,0.12,238,41
10.02,"ben roethlisberger","QB","PIT",109.5,0,0.12,0.12,402,15
10.02,"denver defense","DEF","DEN",110.5,0,0.12,0.12,158,5
10.03,"vernand morency","RB","FA",110.7,0,0.12,0.12,119,42
10.03,"chris brown","RB","HOU",111.1,0,0.12,0.12,186,43
10.04,"l.j. smith","TE","BAL",111.7,0,0.12,0.12,168,10
10.07,"isaac bruce","WR","SF",114.8,0,0.12,0.12,283,42
10.08,"muhsin muhammad","WR","CAR",115.8,0,0.12,0.12,188,43
10.08,"matt jones","WR","CIN",116,0,0.12,0.12,97,44
10.09,"brandon marshall","WR","NO",116.9,0,0.12,0.12,309,45
10.09,"miami defense","DEF","MIA",117,0,0.12,0.12,87,6
10.11,"reuben droughns","RB","NYG",118.7,0,0.12,0.12,113,44
10.11,"brett favre","QB","MIN",119.4,0,0.12,0.12,255,16
10.12,"mike bell","RB","CLE",120.1,0,0.12,0.12,168,45
11.02,"adam vinatieri","PK","IND",122.1,0,0.12,0.12,296,1
11.03,"randy mcmichael","TE","LAC",122.6,0,0.12,0.12,286,11
