,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Tom Brady*+\BradTo00,NWE,QB,30,16,16,398,578,4806,50,8,37,98,2.65,2,0,0,0,,0,6,4,2,,,398,390.0,405.0,398.0,180,1,1
2,LaDainian Tomlinson*+\TomlLa00,SDG,RB,28,16,16,1,1,17,1,0,315,1474,4.68,15,86,60,475,7.92,3,0,,18,,,308,367.6,373.6,337.6,174,1,2
3,Randy Moss*+\MossRa00,NWE,WR,30,16,16,0,0,0,0,0,0,0,,0,160,98,1493,15.23,23,0,,23,,,287,385.3,388.3,336.3,165,1,3
4,Brian Westbrook*+\WestBr00,PHI,RB,28,15,15,0,0,0,0,0,278,1333,4.79,7,118,90,771,8.57,5,2,2,12,,,282,368.4,376.4,323.4,149,2,4
5,Adrian Peterson*\PeteAd01,MIN,RB,22,14,9,0,0,0,0,0,238,1341,5.63,12,28,19,268,14.11,1,4,3,13,,,239,251.9,260.9,242.4,106,3,5
6,Terrell Owens*+\OwenTe00,DAL,WR,34,15,15,0,0,0,0,0,1,5,5.00,0,141,81,1355,16.73,15,0,,15,,,226,307.0,310.0,266.5,104,2,6
7,Braylon Edwards*\EdwaBr00,CLE,WR,24,16,16,0,0,0,0,0,0,0,,0,154,80,1289,16.11,16,3,2,16,,,225,300.9,305.9,260.9,103,3,7
8,Clinton Portis\PortCl00,WAS,RB,26,16,16,1,1,15,1,0,325,1262,3.88,11,60,47,389,8.28,0,6,5,11,,,236,272.7,283.7,249.2,103,4,8
9,Joseph Addai*\AddaJo00,IND,RB,24,15,15,0,0,0,0,0,261,1072,4.11,12,48,41,364,8.88,3,0,,15,1,,236,276.6,282.6,256.1,103,5,9
10,Reggie Wayne*\WaynRe00,IND,WR,29,16,16,0,0,0,0,0,1,4,4.00,0,156,104,1510,14.52,10,3,3,10,,,211,309.4,315.4,257.4,89,4,10
11,Jamal Lewis\LewiJa00,CLE,RB,28,15,15,0,0,0,0,0,298,1304,4.38,9,39,30,248,8.27,2,4,2,11,,,221,247.2,255.2,232.2,88,6,11
