"Pick","Name","Pos","Team","Overall","Std..Dev","High","Low","Times.Drafted","Pos_ADP"
1.01,"ladainian tomlinson","RB","LAC",1.4,0.7,1.01,1.05,813,1
1.02,"adrian peterson","RB","MIN",2.4,0.7,1.01,1.06,417,2
1.03,"brian westbrook","RB","PHI",2.8,0.7,1.01,1.09,405,3
1.05,"joseph addai","RB","IND",4.7,1.1,1.01,1.08,559,4
1.05,"steven jackson","RB","LAR",5.2,1.4,1.01,1.11,658,5
1.06,"tom brady","QB","NE",5.7,2.3,1.01,2.02,608,1
1.07,"marion barber","RB","DAL",6.8,1.8,1.01,2.02,785,6
1.08,"randy moss","WR","NE",8.4,2,1.01,2.04,668,1
1.09,"frank gore","RB","SF",9.3,2.1,1.03,2.05,596,7
1.1,"clinton portis","RB","WAS",10.2,2.3,1.04,2.06,592,8
1.12,"marshawn lynch","RB","None",11.7,2.5,1.05,2.08,737,9
1.12,"terrell owens","WR","DAL",11.7,2.2,1.02,2.07,645,2
2.02,"reggie wayne","WR","IND",14.1,2.4,1.02,2.1,612,3
2.03,"peyton manning","QB","IND",14.7,3.7,1.01,3.01,452,2
2.04,"braylon edwards","WR","CLE",16.3,2.8,1.07,3.03,547,4
2.05,"larry johnson","RB","KC",16.6,3.4,1.01,3.07,461,10
2.06,"tony romo","QB","DAL",18.2,4.6,1.04,3.09,734,3
2.07,"andre johnson","WR","HOU",18.7,3,1.11,3.07,425,5
2.07,"larry fitzgerald","WR","ARI",18.9,2.9,1.11,3.04,611,6
2.08,"ryan grant","RB","GB",19.6,3.9,1.07,3.09,495,11
2.08,"marques colston","WR","NO",20.4,3.5,1.12,3.07,762,7
2.09,"maurice jones-drew","RB","JAX",21.5,4.5,1.03,3.11,621,12
2.12,"drew brees","QB","NO",24.4,4.8,1.05,4.08,674,4
3.01,"t.j. houshmandzadeh","WR","CIN",24.6,3.4,1.02,4.02,484,8
3.03,"jamal lewis","RB","CLE",26.6,5.1,1.12,4.03,586,13
3.04,"chad johnson","WR","CIN",28.3,4.2,2.05,4.05,178,9
3.04,"willis mcgahee","RB","BAL",28.4,6.6,2.01,7.09,258,14
3.05,"plaxico burress","WR","NYG",28.6,4.3,2.03,4.06,516,10
3.06,"steve smith","WR","CAR",30.2,4.7,2.08,4.1,489,11
3.07,"reggie bush","RB","NO",30.9,6.4,1.1,5.02,491,15
3.08,"torry holt","WR","LAR",31.5,5,2.08,4.11,381,12
3.1,"wes welker","WR","NE",33.6,5.6,2.07,5.07,424,13
3.1,"brandon jacobs","RB","NYG",34,5.9,2.01,5.06,500,16
3.11,"thomas jones","RB","NYJ",34.9,5.8,2.03,5.08,674,17
3.11,"santonio holmes","WR","PIT",35.4,5.6,2.08,5.02,549,14
3.12,"brandon marshall","WR","DEN",35.5,7.6,2.01,6.05,1340,15
4.01,"anquan boldin","WR","ARI",36.7,5,2.12,5.04,379,16
4.03,"laurence maroney","RB","NE",39.4,7.4,2.07,6.01,392,18
4.04,"carson palmer","QB","CIN",39.5,8.4,2.11,5.1,226,5
4.04,"willie parker","RB","PIT",40,6.8,2.06,5.09,530,19
4.06,"roy williams","WR","DAL",41.8,5.7,2.12,5.09,521,17
4.07,"calvin johnson","WR","DET",42.6,7.4,2.01,6.02,1000,18
4.07,"michael turner","RB","ATL",43.1,7.2,2.07,6.04,746,20
4.08,"jason witten","TE","DAL",44.1,5.7,3.02,5.08,373,1
4.09,"darren mcfadden","RB","LV",44.6,7.8,2.1,6.04,646,21
4.09,"marvin harrison","WR","IND",45.5,5.6,3.01,5.11,357,19
4.1,"ben roethlisberger","QB","PIT",46.2,9.3,2.11,6.12,334,6
4.12,"earnest graham","RB","TB",48.5,8.3,2.1,6.11,778,22
5.02,"greg jennings","WR","GB",49.6,6.7,3.04,6.11,480,20
5.02,"todd heap","TE","BAL",50.3,40,1.02,11.04,161,2
5.03,"antonio gates","TE","LAC",51.1,6.2,2.09,6.06,405,3
5.03,"derek anderson","QB","CLE",51.3,11.8,1.11,7.12,223,7
5.05,"kellen winslow","TE","CLE",53.2,5.3,3.11,6.11,427,4
5.08,"jerricho cotchery","WR","NYJ",56,8.1,3.04,7.12,1291,21
5.08,"jonathan stewart","RB","CAR",56.1,7.6,3.03,7.06,420,23
5.09,"dwayne bowe","WR","KC",57.1,7.8,2.02,7.04,332,22
5.1,"edgerrin james","RB","ARI",57.7,8.5,3.06,7.1,440,24
5.11,"selvin young","RB","DEN",58.6,7.9,2.12,7.06,616,25
5.12,"donovan mcnabb","QB","PHI",59.9,22.8,1.03,9.1,744,8
5.12,"hines ward","WR","PIT",60.5,7.5,4.03,7.09,259,23
