Pick,Overall,Name,Pos,Team,Times Drafted,Std. Dev,High,Low,Bye
1,1.01,Chris Johnson,RB,TEN,1.4,0.7,1.01,1.06,461
2,1.02,Adrian Peterson,RB,MIN,2.1,0.7,1.01,1.04,286
3,1.03,Ray Rice,RB,BAL,3,0.7,1.01,1.05,157
4,1.04,Maurice Jones-Drew,RB,JAX,4.4,1.2,1.01,1.08,355
5,1.06,Andre Johnson,WR,HOU,5.6,1.4,1.01,1.09,315
6,1.06,Frank Gore,RB,SF,6,1.4,1.01,1.11,453
7,1.07,Aaron Rodgers,QB,GB,6.8,2.3,1.01,2.03,327
8,1.08,Michael Turner,RB,ATL,8.1,2.1,1.03,2.04,508
9,1.09,Randy Moss,WR,TEN,8.8,1.8,1.03,2.03,341
10,1.12,Steven Jackson,RB,LAR,11.8,2.8,1.04,2.11,352
11,1.12,Reggie Wayne,WR,IND,11.9,2.7,1.05,2.09,212
12,1.12,Drew Brees,QB,NO,12.1,3.7,1.01,2.12,505
13,2.01,Calvin Johnson,WR,DET,12.6,2.7,1.01,2.09,260
14,2.03,Ryan Mathews,RB,LAC,14.8,3.7,1.01,3.02,483
15,2.03,Miles Austin,WR,DAL,15.1,2.8,1.05,2.11,252
16,2.05,Roddy White,WR,ATL,16.6,3.1,1.09,3.04,300
17,2.06,Peyton Manning,QB,IND,17.7,4.3,1.01,3.03,463
18,2.06,Rashard Mendenhall,RB,PIT,18.2,4,1.07,3.07,428
19,2.07,Brandon Marshall,WR,MIA,18.9,3.4,1.09,3.05,255
20,2.07,Larry Fitzgerald,WR,ARI,19.2,3.4,2.01,3.05,311
21,2.08,DeAngelo Williams,RB,CAR,20.4,4.8,1.08,3.11,434
22,2.1,Greg Jennings,WR,GB,21.5,3.4,1.1,3.07,406
23,2.12,DeSean Jackson,WR,PHI,24.2,4,1.06,3.09,284
24,3.01,Shonn Greene,RB,NYJ,25,5.6,1.01,3.12,384
25,3.01,Tom Brady,QB,NE,25.2,5.5,1.01,4.05,476
26,3.02,Marques Colston,WR,NO,25.7,4,2.01,3.12,317
27,3.03,Jamaal Charles,RB,KC,27.3,5.7,1.11,4.05,298
28,3.04,Wes Welker,WR,NE,28.2,4.4,1.12,4.04,159
29,3.04,Ryan Grant,RB,GB,28.5,5.3,1.1,4.05,441
30,3.07,Anquan Boldin,WR,BAL,31.1,4.4,2.07,4.09,339
31,3.08,Cedric Benson,RB,CIN,31.7,5.4,2.01,4.09,354
32,3.08,Matt Schaub,QB,HOU,31.9,6.1,2.04,4.11,357
33,3.08,Pierre Thomas,RB,NO,32.4,4.5,2.01,4.11,276
34,3.1,Steve Smith,WR,NYG,34.2,6.1,2.09,5.04,231
35,3.11,Tony Romo,QB,DAL,35,5.8,2.07,5.03,263
