"Overall","Name","Pos","Team","Times.Drafted","Std..Dev","High","Low","Bye","Pos_ADP"
1.01,"chris johnson","RB","TEN",1.4,0.7,1.01,1.06,461,1
1.02,"adrian peterson","RB","MIN",2.1,0.7,1.01,1.04,286,2
1.03,"ray rice","RB","BAL",3,0.7,1.01,1.05,157,3
1.04,"maurice jones-drew","RB","JAX",4.4,1.2,1.01,1.08,355,4
1.06,"andre johnson","WR","HOU",5.6,1.4,1.01,1.09,315,1
1.06,"frank gore","RB","SF",6,1.4,1.01,1.11,453,5
1.07,"aaron rodgers","QB","GB",6.8,2.3,1.01,2.03,327,1
1.08,"michael turner","RB","ATL",8.1,2.1,1.03,2.04,508,6
1.09,"randy moss","WR","TEN",8.8,1.8,1.03,2.03,341,2
1.12,"steven jackson","RB","LAR",11.8,2.8,1.04,2.11,352,7
1.12,"reggie wayne","WR","IND",11.9,2.7,1.05,2.09,212,3
1.12,"drew brees","QB","NO",12.1,3.7,1.01,2.12,505,2
2.01,"calvin johnson","WR","DET",12.6,2.7,1.01,2.09,260,4
2.03,"ryan mathews","RB","LAC",14.8,3.7,1.01,3.02,483,8
2.03,"miles austin","WR","DAL",15.1,2.8,1.05,2.11,252,5
2.05,"roddy white","WR","ATL",16.6,3.1,1.09,3.04,300,6
2.06,"peyton manning","QB","IND",17.7,4.3,1.01,3.03,463,3
2.06,"rashard mendenhall","RB","PIT",18.2,4,1.07,3.07,428,9
2.07,"brandon marshall","WR","MIA",18.9,3.4,1.09,3.05,255,7
2.07,"larry fitzgerald","WR","ARI",19.2,3.4,2.01,3.05,311,8
2.08,"deangelo williams","RB","CAR",20.4,4.8,1.08,3.11,434,10
2.1,"greg jennings","WR","GB",21.5,3.4,1.1,3.07,406,9
2.12,"desean jackson","WR","PHI",24.2,4,1.06,3.09,284,10
3.01,"shonn greene","RB","NYJ",25,5.6,1.01,3.12,384,11
3.01,"tom brady","QB","NE",25.2,5.5,1.01,4.05,476,4
3.02,"marques colston","WR","NO",25.7,4,2.01,3.12,317,11
3.03,"jamaal charles","RB","KC",27.3,5.7,1.11,4.05,298,12
3.04,"wes welker","WR","NE",28.2,4.4,1.12,4.04,159,12
3.04,"ryan grant","RB","GB",28.5,5.3,1.1,4.05,441,13
3.07,"anquan boldin","WR","BAL",31.1,4.4,2.07,4.09,339,13
3.08,"cedric benson","RB","CIN",31.7,5.4,2.01,4.09,354,14
3.08,"matt schaub","QB","HOU",31.9,6.1,2.04,4.11,357,5
3.08,"pierre thomas","RB","NO",32.4,4.5,2.01,4.11,276,15
3.1,"steve smith","WR","NYG",34.2,6.1,2.09,5.04,231,14
3.11,"tony romo","QB","DAL",35,5.8,2.07,5.03,263,6
3.12,"arian foster","RB","HOU",36.3,7.4,1.01,5.09,566,16
4.01,"steve smith","WR","CAR",36.6,5.8,2.11,5.07,389,15
4.01,"lesean mccoy","RB","PHI",37.5,5.4,2.06,5.02,286,17
4.02,"jahvid best","RB","DET",38.5,6.3,2.05,5.08,409,18
4.04,"dallas clark","TE","IND",40,6.3,2.01,5.11,221,1
4.06,"antonio gates","TE","LAC",42,5.1,2.05,5.05,270,2
4.06,"philip rivers","QB","LAC",42,7,2.07,5.12,326,7
4.07,"michael crabtree","WR","SF",42.7,5.8,3.01,6.01,319,16
4.07,"jermichael finley","TE","GB",42.8,5.7,2.11,5.1,335,3
4.08,"matt forte","RB","CHI",44.3,6.7,2.11,6.04,332,19
4.09,"chad johnson","WR","CIN",45.2,6.7,2.12,6.02,330,17
4.11,"dwayne bowe","WR","KC",47.4,7,3.01,6.06,355,18
4.12,"joseph addai","RB","IND",47.6,7.8,2.07,6.05,352,20
4.12,"beanie wells","RB","ARI",48.2,8.3,3.04,6.08,219,21
5.03,"jonathan stewart","RB","CAR",50.7,8.2,2.08,7.06,288,22
5.04,"vernon davis","TE","SF",52,5.7,3.12,6.08,270,4
5.04,"knowshon moreno","RB","DEN",52.4,7.9,3.08,6.1,229,23
5.05,"hakeem nicks","WR","NYG",53.1,7.4,3.07,6.11,364,19
5.06,"ronnie brown","RB","MIA",53.9,7.9,3.05,6.12,309,24
5.08,"jason witten","TE","DAL",55.8,6.7,3.05,7.04,201,5
5.08,"mike sims-walker","WR","JAX",56.3,7.8,3.12,7.06,316,20
5.08,"pierre garcon","WR","IND",56.3,8.3,3.02,7.05,380,21
5.1,"c.j. spiller","RB","None",57.7,8.8,2.12,7.05,344,25
5.1,"percy harvin","WR","MIN",58,7.8,3.07,7.08,430,22
5.1,"hines ward","WR","PIT",58.1,7.1,4.01,7.03,223,23
5.12,"malcom floyd","WR","LAC",59.8,8.4,2.12,7.09,461,24
6.01,"joe flacco","QB","BAL",60.8,10.2,2.12,8.09,297,8
6.02,"brent celek","TE","PHI",61.7,7,4.11,7.07,141,6
6.05,"kevin kolb","QB","PHI",64.8,10.9,4.04,9.01,131,9
6.05,"tony gonzalez","TE","ATL",64.9,7.5,4.05,8.02,193,7
6.05,"felix jones","RB","DAL",65.2,9.2,4.01,8.06,128,26
6.05,"ahmad bradshaw","RB","NYG",65.4,8.8,3.11,8.08,545,27
6.07,"donald driver","WR","GB",67.3,9.2,3.01,8.07,352,25
6.07,"reggie bush","RB","NO",67.4,11.9,1.05,8.07,159,28
6.08,"terrell owens","WR","CIN",67.6,9.8,2.02,8.12,431,26
6.08,"justin forsett","RB","SEA",67.9,8.7,4.02,8.08,192,29
6.12,"santana moss","WR","WAS",72.2,9.3,4.02,8.1,284,27
6.12,"mike wallace","WR","PIT",72.3,8.9,4.09,9.05,478,28
7.02,"jeremy maclin","WR","PHI",73.7,8.3,5.01,9.02,293,29
7.03,"marion barber","RB","DAL",75.1,9.2,4.03,9.05,274,30
7.03,"johnny knox","WR","CHI",75.1,8.5,4.12,8.12,295,30
7.04,"jerome harrison","RB","PHI",75.9,10.1,3.1,9.03,464,31
7.05,"owen daniels","TE","HOU",77.3,9.6,5.09,10.08,154,8
7.06,"jay cutler","QB","CHI",78.4,12.7,4.05,9.11,155,10
7.07,"ricky williams","RB","MIA",78.5,8.2,4.03,9.05,212,32
7.08,"dez bryant","WR","DAL",80.1,10.5,2.12,9.07,315,31
7.09,"t.j. houshmandzadeh","WR","BAL",81.1,10.1,5.05,9.06,96,32
7.11,"brett favre","QB","MIN",82.6,16.6,2.03,10.08,197,11
7.12,"brandon jacobs","RB","NYG",84.2,8.8,5.12,9.11,159,33
7.12,"michael bush","RB","LV",84.5,9.2,5.05,9.09,130,34
8.02,"carnell williams","RB","TB",86.2,8.5,6.01,9.08,305,35
8.03,"ny jets defense","DEF","NYJ",86.5,10.8,1.09,9.08,283,1
8.03,"clinton portis","RB","WAS",87.2,10.1,4.01,10.12,331,36
8.03,"vincent jackson","WR","LAC",87.2,10.9,4.12,10.03,129,33
8.05,"matt ryan","QB","ATL",89.4,13.5,5.01,10.11,260,12
8.06,"santonio holmes","WR","NYJ",89.6,9.7,4.07,10.08,273,34
8.06,"robert meachem","WR","NO",89.9,10.5,5.01,10.12,333,35
8.09,"jabar gaffney","WR","DEN",93.2,10.3,6.02,10.07,283,36
8.09,"ladainian tomlinson","RB","NYJ",93.3,14.4,1.01,10.12,367,37
8.1,"eli manning","QB","NYG",93.8,15.9,1.01,11.04,310,13
8.1,"thomas jones","RB","KC",94,10.4,4.1,11.03,127,38
8.12,"chris cooley","TE","WAS",95.9,19.3,4.12,13.03,188,9
9.01,"tim hightower","RB","ARI",96.6,9.6,7.01,11.04,205,39
9.01,"visanthe shiancoe","TE","MIN",96.7,21,5.1,13.06,264,10
9.01,"devin aromashodu","WR","CHI",96.9,10.2,6.03,10.11,164,37
9.02,"carson palmer","QB","CIN",98.2,14.6,5.05,11.03,313,14
