#,Pick,Name,Pos,Team,Overall,Std. Dev,High,Low,Times Drafted
1,1.02,Adrian Peterson,RB,MIN,1.7,1,1.01,1.08,269
2,1.03,LeVeon Bell,RB,PIT,3.1,1.5,1.01,1.07,255
3,1.03,Eddie Lacy,RB,GB,3.2,1.3,1.01,1.07,301
4,1.04,Jamaal Charles,RB,KC,3.7,1.5,1.01,1.08,304
5,1.05,Marshawn Lynch,RB,SEA,5.2,1.4,1.01,1.1,307
6,1.06,Antonio Brown,WR,PIT,6.4,2.9,1.01,2.08,370
7,1.08,CJ Anderson,RB,DEN,7.8,1.9,1.03,2.04,288
8,1.09,Dez Bryant,WR,DAL,8.8,1.9,1.02,2.03,312
9,1.09,Julio Jones,WR,ATL,9.1,2.4,1.01,2.05,287
10,1.09,Jeremy Hill,RB,CIN,9.4,2.2,1.04,2.04,366
11,1.1,Andrew Luck,QB,IND,9.8,5.2,1.01,2.12,244
12,1.12,Demaryius Thomas,WR,DEN,11.8,2.1,1.06,2.07,345
13,1.12,Rob Gronkowski,TE,NE,11.9,3.6,1.02,2.09,357
14,2.01,DeMarco Murray,RB,PHI,13.3,2.9,1.05,2.09,362
15,2.02,Odell Beckham Jr,WR,NYG,14.5,2.7,1.05,2.11,411
16,2.03,Matt Forte,RB,CHI,14.8,3.2,1.06,2.11,399
17,2.04,Calvin Johnson,WR,DET,16.1,2.5,1.02,2.1,435
18,2.07,Randall Cobb,WR,GB,18.7,2.4,1.12,3.01,324
19,2.07,A.J. Green,WR,CIN,19.2,2.4,1.12,3.02,348
20,2.07,LeSean McCoy,RB,BUF,19.2,3.5,1.03,3.05,309
21,2.09,Justin Forsett,RB,BAL,20.6,3.5,1.09,3.07,283
22,2.09,Aaron Rodgers,QB,GB,21.4,5,1.01,4.03,286
23,2.09,Lamar Miller,RB,MIA,21.5,3.4,1.11,3.07,303
24,2.12,T.Y. Hilton,WR,IND,23.9,2.8,2.03,3.07,292
25,3.01,Brandin Cooks,WR,NO,24.6,3.3,2.01,3.1,299
26,3.03,Frank Gore,RB,IND,26.7,3.6,2.02,3.11,303
27,3.04,Jordan Matthews,WR,PHI,27.5,3.2,2.04,4.04,294
28,3.04,Alshon Jeffery,WR,CHI,28.2,3.8,1.02,4.03,274
29,3.05,Mark Ingram,RB,NO,28.6,3.6,2.03,3.12,309
30,3.07,Mike Evans,WR,TB,30.6,3.8,2.09,4.05,292
31,3.07,Latavius Murray,RB,LV,31,3.2,2.05,4.06,306
32,3.08,DeAndre Hopkins,WR,HOU,31.9,4.1,1.05,4.1,302
33,3.08,Jimmy Graham,TE,SEA,32.2,5.2,2.01,4.09,229
34,3.1,Alfred Morris,RB,WAS,34.2,4.3,2.08,4.11,291
35,3.11,Davante Adams,WR,GB,35.1,4.1,2.03,4.11,258
36,3.12,Emmanuel Sanders,WR,DEN,36,5.1,2.11,4.11,282
37,3.12,Doug Martin,RB,TB,36.1,4.7,2.02,5.04,318
38,3.12,Carlos Hyde,RB,SF,36.3,4.5,2.11,4.11,275
39,4.02,Arian Foster,RB,HOU,37.6,4.7,2.09,5.04,368
40,4.03,Andre Johnson,WR,IND,39.2,4.3,2.12,5.01,286
41,4.04,Melvin Gordon,RB,LAC,40.2,5,2.08,5.08,290
42,4.06,Chris Ivory,RB,NYJ,41.6,5.3,2.09,5.11,327
43,4.06,Jeremy Maclin,WR,KC,41.9,3.9,3.03,5.05,280
44,4.07,Amari Cooper,WR,LV,43,4.2,3.03,5.08,304
45,4.07,Peyton Manning,QB,DEN,43.3,11.6,1.03,6.1,195
46,4.08,Ameer Abdullah,RB,DET,44,6,2.11,5.1,292
47,4.09,Golden Tate,WR,DET,45.2,4.6,2.05,5.07,255
48,4.1,Jonathan Stewart,RB,CAR,46,6.4,3.04,6.01,326
49,4.11,Joseph Randle,RB,DAL,47.5,6.1,3.05,6.03,225
