"Name","Pos","Age","Games","Pass_Comp","Pass_Att","Pass_Yards","Pass_TD","Pass_INT","Rush_Att","Rush_Yards","Rush_TD","Rec_Tgt","Rec_Comp","Rec_Yards","Rec_TD","Fum_Lost","2PT_Made","2PT_Pass","Fan_Pts","VBD","Pos_Rk"
"david johnson","RB","25","16","0","0","0","0","0","293","1239","16","120","80","879","4","3","1","","328","196","1"
"ezekiel elliott","RB","21","15","0","0","0","0","0","322","1631","15","39","32","363","1","1","","","293","162","2"
"lesean mccoy","RB","28","15","0","0","0","0","0","234","1267","13","57","50","356","1","0","1","","248","117","3"
"aaron rodgers","QB","33","16","401","610","4428","40","7","67","369","4","0","0","0","0","4","1","1","382","114","1"
"demarco murray","RB","28","16","1","2","10","1","0","293","1287","9","67","53","377","3","1","","","243","111","4"
"leveon bell","RB","24","12","0","1","0","0","0","261","1268","7","94","75","616","2","1","1","","242","111","5"
"devonta freeman","RB","24","16","0","0","0","0","0","227","1079","11","65","54","462","2","1","","","232","101","6"
"legarrette blount","RB","30","16","0","0","0","0","0","299","1161","18","8","7","38","0","1","","","226","94","7"
"matt ryan","QB","31","16","373","534","4944","38","7","35","117","0","0","0","0","0","2","1","1","355","88","2"
"mike evans","WR","23","16","0","0","0","0","0","0","0","0","173","96","1321","12","0","2","","208","82","1"
"jordy nelson","WR","31","16","0","0","0","0","0","0","0","0","152","97","1257","14","1","","","208","82","2"
"antonio brown","WR","28","15","0","0","0","0","0","3","9","0","154","106","1284","12","0","","","207","81","3"
"melvin gordon","RB","23","13","0","0","0","0","0","254","997","10","57","41","419","2","2","","","210","78","8"
"jordan howard","RB","22","15","0","0","0","0","0","252","1313","6","50","29","298","1","1","","","201","70","9"
"odell beckham","WR","24","16","0","0","0","0","0","1","9","0","169","101","1367","10","1","","","196","69","4"
"drew brees","QB","37","16","471","673","5208","37","15","23","20","2","0","0","0","0","4","","","336","68","3"
"mark ingram","RB","27","16","0","0","0","0","0","205","1043","6","58","46","319","4","2","2","","198","67","10"
"t.y. hilton","WR","27","16","0","0","0","0","0","0","0","0","155","91","1448","6","0","1","","185","59","5"
"jay ajayi","RB","23","15","0","0","0","0","0","260","1272","8","35","27","151","0","1","","","188","57","11"
"julio jones","WR","27","14","0","0","0","0","0","0","0","0","129","83","1409","6","0","","","179","53","6"
"travis kelce","TE","27","16","0","0","0","0","0","1","-5","0","117","85","1125","4","0","1","","138","49","1"
"davante adams","WR","24","16","0","0","0","0","0","0","0","0","121","75","997","12","1","1","","174","48","7"
"frank gore","RB","33","16","0","0","0","0","0","263","1025","4","47","38","277","4","1","","","176","45","12"
"latavius murray","RB","26","14","0","0","0","0","0","195","788","12","43","33","264","0","1","","","175","44","13"
