#,Pick,Name,Pos,Team,Overall,Std. Dev,High,Low,Times Drated
1,1.02,David Johnson,RB,ARI,1.6,0.8,1.01,1.05,420
2,1.02,LeVeon Bell,RB,PIT,2.2,0.7,1.01,1.04,349
3,1.05,Julio Jones,WR,ATL,5.3,1.6,1.01,1.09,329
4,1.06,Antonio Brown,WR,PIT,6,3.1,1.01,2.02,343
5,1.06,LeSean McCoy,RB,BUF,6.2,1.7,1.03,1.12,288
6,1.06,Devonta Freeman,RB,ATL,6.5,1.9,1.03,1.12,316
7,1.07,Odell Beckham Jr,WR,NYG,6.8,2.1,1.01,1.12,284
8,1.07,Melvin Gordon,RB,LAC,7.4,2.2,1.01,2.04,346
9,1.08,Mike Evans,WR,TB,8.4,2,1.01,2.03,345
10,1.1,Ezekiel Elliott,RB,DAL,10.1,4.2,1.01,2.08,499
11,1.1,A.J. Green,WR,CIN,10.4,2,1.05,2.05,316
12,1.11,Jay Ajayi,RB,PHI,10.7,2.2,1.04,2.05,324
13,2.01,Jordy Nelson,WR,GB,12.5,2.3,1.03,2.07,351
14,2.01,DeMarco Murray,RB,TEN,13.4,2.7,1.06,2.08,366
15,2.03,Jordan Howard,RB,CHI,14.8,2.7,1.08,2.11,422
16,2.04,Michael Thomas,WR,NO,15.8,2.3,1.06,2.11,405
17,2.05,Todd Gurley,RB,LAR,16.8,3,1.01,3.02,384
18,2.06,Rob Gronkowski,TE,NE,17.9,3.1,1.04,3.04,331
19,2.07,Dez Bryant,WR,DAL,18.8,2.8,1.08,3.03,325
20,2.08,Aaron Rodgers,QB,GB,19.8,5.4,1.01,3.07,289
21,2.08,Brandin Cooks,WR,NE,19.9,2.7,1.12,3.05,315
22,2.09,Amari Cooper,WR,LV,21.4,2.8,2.01,3.07,328
23,2.1,Leonard Fournette,RB,JAX,22,3.6,1.09,3.09,266
24,2.12,Doug Baldwin,WR,SEA,23.6,2.9,1.12,3.09,324
25,2.12,Isaiah Crowell,RB,CLE,24.2,4.3,1.12,3.1,327
26,3.01,Marshawn Lynch,RB,LV,24.6,4.7,1.09,3.12,305
27,3.03,Christian McCaffrey,RB,CAR,26.7,4.1,1.12,3.11,309
28,3.03,Kareem Hunt,RB,KC,27,4.8,2.01,4.05,705
29,3.03,Tom Brady,QB,NE,27.4,4.8,1.06,4.03,291
30,3.04,Dalvin Cook,RB,MIN,28,4.4,2.01,4.01,361
31,3.06,T.Y. Hilton,WR,IND,29.6,4.3,2.09,4.06,238
32,3.07,Lamar Miller,RB,HOU,31.2,3.6,2.07,4.07,322
33,3.09,Keenan Allen,WR,LAC,32.5,4.7,2.07,4.08,382
34,3.09,Carlos Hyde,RB,SF,32.5,3.5,2.07,4.08,408
35,3.1,DeAndre Hopkins,WR,HOU,34.2,5,1.12,4.1,400
36,3.1,Terrelle Pryor,WR,WAS,34.3,4.7,2.01,4.11,258
37,3.12,Ty Montgomery,RB,GB,35.7,4.5,2.1,4.12,395
38,4.02,Joe Mixon,RB,CIN,37.5,5.2,2.07,5.07,308
39,4.02,Drew Brees,QB,NO,37.7,6.5,1.09,5.07,239
40,4.02,Demaryius Thomas,WR,DEN,38.2,4.3,2.09,5.01,285
41,4.04,Alshon Jeffery,WR,PHI,39.8,4.1,3.01,5.04,307
42,4.04,Travis Kelce,TE,KC,39.9,5.2,2.07,5.04,251
43,4.06,Kelvin Benjamin,WR,BUF,42,4.2,3.02,5.09,407
44,4.07,CJ Anderson,RB,DEN,43.5,5.5,2.12,5.12,372
45,4.08,Martavis Bryant,WR,PIT,43.7,4.9,3.01,5.1,415
46,4.09,Tyreek Hill,WR,KC,44.7,4.6,3.01,6.04,258
47,4.09,Davante Adams,WR,GB,44.8,4,3.01,5.08,371
48,4.1,Doug Martin,RB,TB,45.6,5.7,3.02,6.03,356
49,4.12,Ameer Abdullah,RB,DET,48.4,6.2,3.06,6.05,339
50,5.01,Michael Crabtree,WR,LV,48.9,5.1,2.12,6.09,339
51,5.02,Allen Robinson,WR,JAX,50.3,4.8,4.01,6.05,292
52,5.02,Greg Olsen,TE,CAR,50.4,4.9,3.06,6.02,208
53,5.04,Mark Ingram,RB,NO,51.6,6.8,3.07,6.07,224
54,5.05,Jordan Reed,TE,WAS,53.3,4.6,3.07,6.03,231
55,5.06,Golden Tate,WR,DET,54,5.6,3.12,6.12,251
56,5.06,Mike Gillislee,RB,NE,54.3,6.1,3.06,6.07,238
57,5.07,Matt Ryan,QB,ATL,54.6,7.9,3.01,6.11,192
58,5.08,Larry Fitzgerald,WR,ARI,56.2,6,3.05,7.02,321
59,5.09,Jimmy Graham,TE,SEA,57,5.5,3.08,6.12,260
60,5.09,DeVante Parker,WR,MIA,57.4,5.6,4.04,7.02,557
61,5.1,Bilal Powell,RB,NYJ,57.8,6.3,3.12,7.05,338
62,5.11,Adrian Peterson,RB,ARI,58.7,6.5,3.11,7.05,228
63,6.03,Brandon Marshall,WR,NYG,62.6,6.1,4.11,7.09,278
64,6.03,Stefon Diggs,WR,MIN,62.8,6.4,4.03,7.1,331
65,6.03,Russell Wilson,QB,SEA,63.5,6.9,4.05,7.07,258
66,6.04,Darren McFadden,RB,DAL,63.9,7.4,3.12,8.04,195
67,6.04,Rob Kelley,RB,WAS,64.5,7.2,4.02,8.06,414
68,6.06,Derrick Henry,RB,TEN,66.3,7.6,3.06,9.09,276
69,6.06,Sammy Watkins,WR,LAR,66.4,6.9,4.03,8.02,264
70,6.08,Tyler Eifert,TE,CIN,67.8,6.5,5.01,8.02,180
71,6.09,Jamison Crowder,WR,WAS,69.3,6.8,4.1,8.03,438
72,6.09,Derek Carr,QB,LV,69.4,6.9,5.01,8.04,200
73,6.11,LeGarrette Blount,RB,PHI,70.7,7.5,4.06,8.09,182
74,7.01,Jarvis Landry,WR,MIA,73.2,6.8,4.1,8.1,258
75,7.02,Tevin Coleman,RB,ATL,74,8.4,4.01,8.1,348
76,7.02,Martellus Bennett,TE,NE,74.4,8.9,3.09,9.09,155
77,7.04,Emmanuel Sanders,WR,DEN,76.3,8.3,5.03,9.03,331
78,7.04,Jameis Winston,QB,TB,76.4,8,5.09,8.12,208
79,7.04,Marcus Mariota,QB,TEN,76.4,8,5.01,8.12,263
80,7.06,Paul Perkins,RB,NYG,77.8,7.8,5.01,8.12,285
81,7.07,Willie Snead,WR,NO,78.7,8.1,5.06,9.04,143
82,7.07,Delanie Walker,TE,TEN,79,8.2,4.1,9.08,188
83,7.08,Frank Gore,RB,IND,80.4,7.5,5.08,9.04,335
84,7.09,Terrance West,RB,BAL,81,8.7,4.06,9.04,394
85,7.09,Cam Newton,QB,CAR,81.4,9.7,1.03,9.08,235
86,7.11,Pierre Garcon,WR,SF,82.6,8.8,5.02,9.06,422
87,7.12,Kirk Cousins,QB,WAS,84.3,7.2,6.07,9.08,201
88,8.03,DeSean Jackson,WR,TB,86.5,7.8,6.02,9.09,310
89,8.03,Danny Woodhead,RB,BAL,87,9.1,5.12,9.06,202
90,8.03,Thomas Rawls,RB,SEA,87.2,7.9,6.01,9.07,290
91,8.04,Zach Ertz,TE,PHI,87.8,11,6.02,11.04,217
92,8.04,Eric Decker,WR,TEN,88.1,8.9,5.06,10.02,260
93,8.05,Kyle Rudolph,TE,MIN,89.2,10.8,6.02,10.12,187
94,8.06,Eddie Lacy,RB,SEA,90,9,5.03,9.09,166
95,8.08,Jonathan Stewart,RB,CAR,91.5,9.3,3.03,9.1,194
96,8.1,Jeremy Maclin,WR,BAL,93.6,7.7,6.06,10.06,229
97,8.1,Jacquizz Rodgers,RB,TB,93.9,9.2,4.1,10.04,139
98,8.1,Randall Cobb,WR,GB,94.4,9.1,5.02,10.07,218
99,8.12,Tyrell Williams,WR,LAC,96.1,8.5,6.05,10.07,232
100,9.01,Andrew Luck,QB,IND,96.6,9,6.06,10.06,227
101,9.02,Chris Hogan,WR,NE,97.6,10.3,4.11,11.03,447
102,9.02,Denver Defense,DEF,DEN,98.5,13.5,2.03,10.07,114
103,9.03,Ben Roethlisberger,QB,PIT,99.3,10.1,6.03,11.01,272
