"Pick","Name","Pos","Team","Overall","Std..Dev","High","Low","Times.Drated","Pos_ADP"
1.02,"david johnson","RB","ARI",1.6,0.8,1.01,1.05,420,1
1.02,"leveon bell","RB","PIT",2.2,0.7,1.01,1.04,349,2
1.05,"julio jones","WR","ATL",5.3,1.6,1.01,1.09,329,1
1.06,"antonio brown","WR","PIT",6,3.1,1.01,2.02,343,2
1.06,"lesean mccoy","RB","BUF",6.2,1.7,1.03,1.12,288,3
1.06,"devonta freeman","RB","ATL",6.5,1.9,1.03,1.12,316,4
1.07,"odell beckham","WR","NYG",6.8,2.1,1.01,1.12,284,3
1.07,"melvin gordon","RB","LAC",7.4,2.2,1.01,2.04,346,5
1.08,"mike evans","WR","TB",8.4,2,1.01,2.03,345,4
1.1,"ezekiel elliott","RB","DAL",10.1,4.2,1.01,2.08,499,6
1.1,"a.j. green","WR","CIN",10.4,2,1.05,2.05,316,5
1.11,"jay ajayi","RB","PHI",10.7,2.2,1.04,2.05,324,7
2.01,"jordy nelson","WR","GB",12.5,2.3,1.03,2.07,351,6
2.01,"demarco murray","RB","TEN",13.4,2.7,1.06,2.08,366,8
2.03,"jordan howard","RB","CHI",14.8,2.7,1.08,2.11,422,9
2.04,"michael thomas","WR","NO",15.8,2.3,1.06,2.11,405,7
2.05,"todd gurley","RB","LAR",16.8,3,1.01,3.02,384,10
2.06,"rob gronkowski","TE","NE",17.9,3.1,1.04,3.04,331,1
2.07,"dez bryant","WR","DAL",18.8,2.8,1.08,3.03,325,8
2.08,"aaron rodgers","QB","GB",19.8,5.4,1.01,3.07,289,1
2.08,"brandin cooks","WR","NE",19.9,2.7,1.12,3.05,315,9
2.09,"amari cooper","WR","LV",21.4,2.8,2.01,3.07,328,10
2.1,"leonard fournette","RB","JAX",22,3.6,1.09,3.09,266,11
2.12,"doug baldwin","WR","SEA",23.6,2.9,1.12,3.09,324,11
2.12,"isaiah crowell","RB","CLE",24.2,4.3,1.12,3.1,327,12
3.01,"marshawn lynch","RB","LV",24.6,4.7,1.09,3.12,305,13
3.03,"christian mccaffrey","RB","CAR",26.7,4.1,1.12,3.11,309,14
3.03,"kareem hunt","RB","KC",27,4.8,2.01,4.05,705,15
3.03,"tom brady","QB","NE",27.4,4.8,1.06,4.03,291,2
3.04,"dalvin cook","RB","MIN",28,4.4,2.01,4.01,361,16
3.06,"t.y. hilton","WR","IND",29.6,4.3,2.09,4.06,238,12
3.07,"lamar miller","RB","HOU",31.2,3.6,2.07,4.07,322,17
3.09,"keenan allen","WR","LAC",32.5,4.7,2.07,4.08,382,13
3.09,"carlos hyde","RB","SF",32.5,3.5,2.07,4.08,408,18
3.1,"deandre hopkins","WR","HOU",34.2,5,1.12,4.1,400,14
3.1,"terrelle pryor","WR","WAS",34.3,4.7,2.01,4.11,258,15
