#,Pick,Name,Pos,Team,Overall,Std. Def,High,Low,Times Drafted
1,1.01,Todd Gurley,RB,LAR,1.4,0.6,1.01,1.04,709
2,1.03,LeVeon Bell,RB,PIT,2.6,0.9,1.01,1.05,699
3,1.03,David Johnson,RB,ARI,3.4,1.2,1.01,1.09,635
4,1.04,Ezekiel Elliott,RB,DAL,3.7,1.3,1.01,1.08,629
5,1.06,Saquon Barkley,RB,NYG,5.8,1.5,1.01,1.12,592
6,1.06,Antonio Brown,WR,PIT,6.5,1.7,1.01,2.02,673
7,1.07,Alvin Kamara,RB,NO,6.8,1.6,1.01,1.12,642
8,1.08,Leonard Fournette,RB,JAX,7.8,1.7,1.01,2.01,708
9,1.09,Melvin Gordon,RB,LAC,8.8,1.7,1.03,2.03,793
10,1.1,Kareem Hunt,RB,KC,10,1.9,1.04,2.04,711
11,1.11,DeAndre Hopkins,WR,HOU,11.1,1.9,1.03,2.05,699
12,1.12,Odell Beckham Jr,WR,NYG,12.3,2.1,1.02,2.05,698
13,2.01,Dalvin Cook,RB,MIN,13.2,2,1.06,2.08,690
14,2.02,Christian McCaffrey,RB,CAR,14,2,1.07,2.1,736
15,2.03,Julio Jones,WR,ATL,15.1,2.3,1.04,2.1,696
16,2.04,Jordan Howard,RB,CHI,15.9,2.5,1.08,2.11,671
17,2.05,Devonta Freeman,RB,ATL,17.3,2.4,1.09,3.01,650
18,2.06,Michael Thomas,WR,NO,18.1,2.5,1.1,3.06,739
19,2.07,Davante Adams,WR,GB,19.1,2.5,1.12,3.05,711
20,2.09,Keenan Allen,WR,LAC,20.7,2.3,1.12,3.06,681
21,2.09,Joe Mixon,RB,CIN,20.8,2.9,2.01,3.06,632
22,2.09,Rob Gronkowski,TE,NE,21.4,3.2,1.02,3.07,659
23,2.11,A.J. Green,WR,CIN,22.8,2.4,2.04,3.07,759
24,3.01,Derrick Henry,RB,TEN,24.5,3.9,1.12,3.12,459
25,3.02,Alex Collins,RB,BAL,25.9,3.6,2.04,4.02,589
26,3.03,Mike Evans,WR,TB,26.8,2.8,2.07,4.01,529
27,3.04,Tyreek Hill,WR,KC,27.9,3.6,2.01,4.03,695
28,3.04,Stefon Diggs,WR,MIN,28.2,3.2,2.06,4.01,585
29,3.04,LeSean McCoy,RB,BUF,28.3,4.1,2.02,4.05,592
30,3.06,Royce Freeman,RB,DEN,29.6,4.1,2.01,4.07,754
31,3.06,T.Y. Hilton,WR,IND,29.8,3.7,2.05,4.05,641
32,3.06,Aaron Rodgers,QB,GB,30.5,6,1.02,4.12,551
33,3.08,Jerick McKinnon,RB,SF,31.9,4.1,2.05,4.08,524
34,3.1,Travis Kelce,TE,KC,33.6,4.6,2.03,4.11,601
35,3.11,Lamar Miller,RB,HOU,34.7,4.3,2.11,5.06,753
36,3.11,Doug Baldwin,WR,SEA,35,4.4,2.11,5.06,564
37,3.12,Kenyan Drake,RB,MIA,35.5,4.5,2.04,4.12,857
38,3.12,Amari Cooper,WR,DAL,36,4.2,2.07,4.11,682
39,4.02,Adam Thielen,WR,MIN,38.2,4.3,2.04,5.03,644
40,4.03,Jay Ajayi,RB,PHI,39.3,5.3,2.09,6.02,647
41,4.04,JuJu Smith-Schuster,WR,PIT,40.4,4.5,1.04,5.1,569
42,4.06,Deshaun Watson,QB,HOU,42.4,7.1,2.01,6.06,406
43,4.07,Larry Fitzgerald,WR,ARI,43,4.3,3.02,6.01,549
44,4.07,Marshawn Lynch,RB,LV,43.1,4.5,2.1,5.1,612
45,4.08,Josh Gordon,WR,NE,43.7,5.7,2.06,5.12,487
46,4.08,Mark Ingram,RB,NO,44.1,4.9,3.01,5.12,599
47,4.09,Zach Ertz,TE,PHI,44.8,5.4,2.01,5.1,530
48,4.1,Chris Hogan,WR,NE,46.1,4.7,2.04,5.11,649
49,4.12,Brandin Cooks,WR,LAR,48.4,5.1,3.06,6.03,541
50,5.01,Carlos Hyde,RB,JAX,48.5,5.7,3.02,6.12,763
51,5.02,Jimmy Graham,TE,GB,49.7,6.3,3.02,6.09,408
52,5.04,Tom Brady,QB,NE,52.1,8.5,1.03,6.12,413
53,5.04,Demaryius Thomas,WR,HOU,52.2,4.9,4.02,7.02,554
54,5.05,Kerryon Johnson,RB,DET,52.8,6.2,3.04,6.11,545
55,5.06,Jarvis Landry,WR,CLE,53.5,5.2,3.11,6.07,618
56,5.06,Marquise Goodwin,WR,SF,54.3,5.2,3.09,6.08,682
57,5.07,Jamaal Williams,RB,GB,55.1,7.1,3.05,7.07,784
58,5.09,Allen Robinson,WR,CHI,56.5,5.6,4.01,7.01,568
59,5.1,Russell Wilson,QB,SEA,57.9,7.5,1.01,7.03,396
60,5.1,Rex Burkhead,RB,NE,58.2,6.6,3.12,7.11,530
61,5.1,Marvin Jones,WR,DET,58.3,5.7,4.03,8.02,588
62,6.01,Chris Carson,RB,SEA,60.6,6.6,3.04,7.11,695
63,6.01,Greg Olsen,TE,CAR,61.4,6.6,3.02,8.08,402
64,6.01,Dion Lewis,RB,TEN,61.5,7.4,3.07,7.11,520
65,6.05,Drew Brees,QB,NO,64.5,7.5,3.02,7.11,371
66,6.05,Corey Davis,WR,TEN,64.6,5.4,3.12,7.1,572
67,6.07,Golden Tate,WR,PHI,67,6.1,4.1,8.02,580
