"Pick","Name","Pos","Team","Overall","Std..Def","High","Low","Times.Drafted","Pos_ADP"
1.01,"todd gurley","RB","LAR",1.4,0.6,1.01,1.04,709,1
1.03,"leveon bell","RB","PIT",2.6,0.9,1.01,1.05,699,2
1.03,"david johnson","RB","ARI",3.4,1.2,1.01,1.09,635,3
1.04,"ezekiel elliott","RB","DAL",3.7,1.3,1.01,1.08,629,4
1.06,"saquon barkley","RB","NYG",5.8,1.5,1.01,1.12,592,5
1.06,"antonio brown","WR","PIT",6.5,1.7,1.01,2.02,673,1
1.07,"alvin kamara","RB","NO",6.8,1.6,1.01,1.12,642,6
1.08,"leonard fournette","RB","JAX",7.8,1.7,1.01,2.01,708,7
1.09,"melvin gordon","RB","LAC",8.8,1.7,1.03,2.03,793,8
1.1,"kareem hunt","RB","KC",10,1.9,1.04,2.04,711,9
1.11,"deandre hopkins","WR","HOU",11.1,1.9,1.03,2.05,699,2
1.12,"odell beckham","WR","NYG",12.3,2.1,1.02,2.05,698,3
2.01,"dalvin cook","RB","MIN",13.2,2,1.06,2.08,690,10
2.02,"christian mccaffrey","RB","CAR",14,2,1.07,2.1,736,11
2.03,"julio jones","WR","ATL",15.1,2.3,1.04,2.1,696,4
2.04,"jordan howard","RB","CHI",15.9,2.5,1.08,2.11,671,12
2.05,"devonta freeman","RB","ATL",17.3,2.4,1.09,3.01,650,13
2.06,"michael thomas","WR","NO",18.1,2.5,1.1,3.06,739,5
2.07,"davante adams","WR","GB",19.1,2.5,1.12,3.05,711,6
2.09,"keenan allen","WR","LAC",20.7,2.3,1.12,3.06,681,7
2.09,"joe mixon","RB","CIN",20.8,2.9,2.01,3.06,632,14
2.09,"rob gronkowski","TE","NE",21.4,3.2,1.02,3.07,659,1
2.11,"a.j. green","WR","CIN",22.8,2.4,2.04,3.07,759,8
3.01,"derrick henry","RB","TEN",24.5,3.9,1.12,3.12,459,15
3.02,"alex collins","RB","BAL",25.9,3.6,2.04,4.02,589,16
3.03,"mike evans","WR","TB",26.8,2.8,2.07,4.01,529,9
3.04,"tyreek hill","WR","KC",27.9,3.6,2.01,4.03,695,10
3.04,"stefon diggs","WR","MIN",28.2,3.2,2.06,4.01,585,11
3.04,"lesean mccoy","RB","BUF",28.3,4.1,2.02,4.05,592,17
3.06,"royce freeman","RB","DEN",29.6,4.1,2.01,4.07,754,18
3.06,"t.y. hilton","WR","IND",29.8,3.7,2.05,4.05,641,12
3.06,"aaron rodgers","QB","GB",30.5,6,1.02,4.12,551,1
3.08,"jerick mckinnon","RB","SF",31.9,4.1,2.05,4.08,524,19
3.1,"travis kelce","TE","KC",33.6,4.6,2.03,4.11,601,2
3.11,"lamar miller","RB","HOU",34.7,4.3,2.11,5.06,753,20
3.11,"doug baldwin","WR","SEA",35,4.4,2.11,5.06,564,13
3.12,"kenyan drake","RB","MIA",35.5,4.5,2.04,4.12,857,21
3.12,"amari cooper","WR","DAL",36,4.2,2.07,4.11,682,14
4.02,"adam thielen","WR","MIN",38.2,4.3,2.04,5.03,644,15
4.03,"jay ajayi","RB","PHI",39.3,5.3,2.09,6.02,647,22
4.04,"juju smith-schuster","WR","PIT",40.4,4.5,1.04,5.1,569,16
4.06,"deshaun watson","QB","HOU",42.4,7.1,2.01,6.06,406,2
4.07,"larry fitzgerald","WR","ARI",43,4.3,3.02,6.01,549,17
4.07,"marshawn lynch","RB","LV",43.1,4.5,2.1,5.1,612,23
4.08,"josh gordon","WR","NE",43.7,5.7,2.06,5.12,487,18
4.08,"mark ingram","RB","NO",44.1,4.9,3.01,5.12,599,24
4.09,"zach ertz","TE","PHI",44.8,5.4,2.01,5.1,530,3
4.1,"chris hogan","WR","NE",46.1,4.7,2.04,5.11,649,19
4.12,"brandin cooks","WR","LAR",48.4,5.1,3.06,6.03,541,20
5.01,"carlos hyde","RB","JAX",48.5,5.7,3.02,6.12,763,25
5.02,"jimmy graham","TE","GB",49.7,6.3,3.02,6.09,408,4
5.04,"tom brady","QB","NE",52.1,8.5,1.03,6.12,413,3
5.04,"demaryius thomas","WR","HOU",52.2,4.9,4.02,7.02,554,21
5.05,"kerryon johnson","RB","DET",52.8,6.2,3.04,6.11,545,26
5.06,"jarvis landry","WR","CLE",53.5,5.2,3.11,6.07,618,22
5.06,"marquise goodwin","WR","SF",54.3,5.2,3.09,6.08,682,23
5.07,"jamaal williams","RB","GB",55.1,7.1,3.05,7.07,784,27
5.09,"allen robinson","WR","CHI",56.5,5.6,4.01,7.01,568,24
5.1,"russell wilson","QB","SEA",57.9,7.5,1.01,7.03,396,4
5.1,"rex burkhead","RB","NE",58.2,6.6,3.12,7.11,530,28
5.1,"marvin jones","WR","DET",58.3,5.7,4.03,8.02,588,25
6.01,"chris carson","RB","SEA",60.6,6.6,3.04,7.11,695,29
6.01,"greg olsen","TE","CAR",61.4,6.6,3.02,8.08,402,5
6.01,"dion lewis","RB","TEN",61.5,7.4,3.07,7.11,520,30
6.05,"drew brees","QB","NO",64.5,7.5,3.02,7.11,371,5
6.05,"corey davis","WR","TEN",64.6,5.4,3.12,7.1,572,26
6.07,"golden tate","WR","PHI",67,6.1,4.1,8.02,580,27
6.07,"cam newton","QB","CAR",67.3,8.2,1.04,9.04,377,6
6.08,"will fuller","WR","HOU",67.6,6.5,4.02,8.08,503,28
6.09,"trey burton","TE","CHI",69.3,7.1,5.04,9.02,470,6
6.1,"peyton barber","RB","TB",70.2,9.3,3.12,9.04,853,31
6.11,"emmanuel sanders","WR","DEN",70.8,7.1,4.06,8.09,694,29
6.12,"tevin coleman","RB","ATL",71.7,8.1,4.1,8.12,562,32
6.12,"alshon jeffery","WR","PHI",72.3,8,5.02,9.05,366,30
7.01,"evan engram","TE","NYG",72.8,7.9,4.12,8.08,329,7
7.02,"rashaad penny","RB","SEA",73.6,8.7,4.01,9.01,418,33
7.04,"julian edelman","WR","NE",76.2,7.9,3.12,9.03,539,31
7.06,"michael crabtree","WR","BAL",77.5,7,5.03,9.02,531,32
7.06,"kyle rudolph","TE","MIN",77.5,8.5,5.01,10.11,346,8
7.06,"isaiah crowell","RB","NYJ",78.4,8.8,5.01,9.06,517,34
7.07,"sony michel","RB","NE",79.4,8.7,5.02,9.04,580,35
7.09,"carson wentz","QB","PHI",81.4,9.9,4.09,9.1,277,7
7.1,"sammy watkins","WR","KC",81.7,7.4,5.1,9.05,451,33
7.1,"kirk cousins","QB","MIN",82.1,9.1,4.11,10.02,347,8
7.11,"delanie walker","TE","TEN",83.3,8,6.03,10.04,342,9
7.12,"marlon mack","RB","IND",84.3,8.9,4.09,9.08,476,36
8.02,"andrew luck","QB","IND",86.5,9.9,3.01,10.06,374,9
8.03,"adrian peterson","RB","WAS",86.7,11.9,4.04,11.09,786,37
8.03,"aaron jones","RB","GB",87.5,7.4,6.01,9.11,429,38
8.04,"ronald jones","RB","TB",87.5,10.4,4.08,10.02,246,39
