ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
1.01,1.2,Christian McCaffrey,RB,CAR,324,0.5,1,3,13
1.02,2.2,Saquon Barkley,RB,NYG,344,0.8,1,4,11
1.05,5.1,Dalvin Cook,RB,MIN,341,1.9,1,12,7
1.06,5.7,Alvin Kamara,RB,NO,332,1.3,2,10,6
1.08,8.3,DeAndre Hopkins,WR,ARI,223,2.1,3,16,8
1.09,8.7,Ezekiel Elliott,RB,DAL,1005,3.3,1,19,10
1.09,9.2,Tyreek Hill,WR,KC,209,2.9,2,16,10
1.10,9.8,Josh Jacobs,RB,LV,228,4.9,1,24,6
1.11,11.2,Julio Jones,WR,ATL,224,2.3,5,17,10
1.12,12.0,Derrick Henry,RB,TEN,594,6.0,1,34,7
2.01,13.2,Joe Mixon,RB,CIN,204,3.5,4,21,9
2.01,13.4,Davante Adams,WR,GB,170,5.7,1,24,5
2.02,14.5,Aaron Jones,RB,GB,548,6.1,1,34,5
2.04,15.9,Michael Thomas,WR,NO,293,10.1,1,44,6
2.04,16.1,Nick Chubb,RB,CLE,592,4.1,5,27,9
2.05,16.6,Lamar Jackson,QB,BAL,272,6.7,1,37,8
2.05,17.1,Mike Evans,WR,TB,209,3.1,9,26,13
2.07,18.6,Chris Godwin,WR,TB,341,4.0,8,29,13
2.07,18.7,George Kittle,TE,SF,160,4.5,11,31,11
2.08,19.9,Travis Kelce,TE,KC,284,4.3,8,36,10
2.09,20.5,Pat Mahomes,QB,KC,414,6.7,3,41,10
2.10,21.8,Melvin Gordon,RB,DEN,177,3.6,12,34,8
2.10,21.9,Leonard Fournette,RB,JAX,121,7.6,11,38,7
2.12,23.7,Amari Cooper,WR,DAL,232,3.6,14,32,10
3.01,25.2,Chris Carson,RB,SEA,217,6.0,15,46,6
3.02,26.2,Kenny Golladay,WR,DET,293,4.5,14,38,5
3.03,26.7,Miles Sanders,RB,PHI,413,7.1,8,46,9
