Team,HCA
Minnesota Timberwolves,-4.182594316
Dallas Mavericks,-3.127549034
Sacramento Kings,-2.94807513
Cleveland Cavaliers,-0.942776922
Memphis Grizzlies,-0.857337766
Orlando Magic,-0.187505812
Detroit Pistons,-0.180814737
Oklahoma City Thunder,-0.178991206
Los Angeles Lakers,-0.070894974
Toronto Raptors,0.423744463
Brooklyn Nets,0.519939434
Phoenix Suns,0.681103233
Los Angeles Clippers,1.118747244
Chicago Bulls,1.385240632
Boston Celtics,1.581675964
New York Knicks,1.799868176
Golden State Warriors,2.164405067
Charlotte Hornets,2.416443786
Portland Trail Blazers,2.624370497
Denver Nuggets,2.911022459
San Antonio Spurs,2.929665476
Washington Wizards,3.213113134
Milwaukee Bucks,3.63040368
Utah Jazz,3.910160403
Indiana Pacers,4.050743871
New Orleans Pelicans,4.550062055
Houston Rockets,6.094034183
Miami Heat,7.556801458
Atlanta Hawks,7.907307489
Philadelphia 76ers,12.02922873
