play_id,game_id,home_team,away_team,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,quarter_end,drive,sp,qtr,down,goal_to_go,time,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,home_timeouts_remaining,away_timeouts_remaining,timeout,timeout_team,td_team,posteam_timeouts_remaining,defteam_timeouts_remaining,total_home_score,total_away_score,posteam_score,defteam_score,score_differential,posteam_score_post,defteam_score_post,score_differential_post,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,rusher_player_id,rusher_player_name,lateral_receiver_player_id,lateral_receiver_player_name,lateral_rusher_player_id,lateral_rusher_player_name,lateral_sack_player_id,lateral_sack_player_name,interception_player_id,interception_player_name,lateral_interception_player_id,lateral_interception_player_name,punt_returner_player_id,punt_returner_player_name,lateral_punt_returner_player_id,lateral_punt_returner_player_name,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,punter_player_id,punter_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,blocked_player_id,blocked_player_name,tackle_for_loss_1_player_id,tackle_for_loss_1_player_name,tackle_for_loss_2_player_id,tackle_for_loss_2_player_name,qb_hit_1_player_id,qb_hit_1_player_name,qb_hit_2_player_id,qb_hit_2_player_name,forced_fumble_player_1_team,forced_fumble_player_1_player_id,forced_fumble_player_1_player_name,forced_fumble_player_2_team,forced_fumble_player_2_player_id,forced_fumble_player_2_player_name,solo_tackle_1_team,solo_tackle_2_team,solo_tackle_1_player_id,solo_tackle_2_player_id,solo_tackle_1_player_name,solo_tackle_2_player_name,assist_tackle_1_player_id,assist_tackle_1_player_name,assist_tackle_1_team,assist_tackle_2_player_id,assist_tackle_2_player_name,assist_tackle_2_team,assist_tackle_3_player_id,assist_tackle_3_player_name,assist_tackle_3_team,assist_tackle_4_player_id,assist_tackle_4_player_name,assist_tackle_4_team,pass_defense_1_player_id,pass_defense_1_player_name,pass_defense_2_player_id,pass_defense_2_player_name,fumbled_1_team,fumbled_1_player_id,fumbled_1_player_name,fumbled_2_player_id,fumbled_2_player_name,fumbled_2_team,fumble_recovery_1_team,fumble_recovery_1_yards,fumble_recovery_1_player_id,fumble_recovery_1_player_name,fumble_recovery_2_team,fumble_recovery_2_yards,fumble_recovery_2_player_id,fumble_recovery_2_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,replay_or_challenge,replay_or_challenge_result,penalty_type,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv
35,2019090500,CHI,GB,GB,away,CHI,CHI,35,2019-09-05,900,1800,3600,Half1,0,1,0,1,NA,0,15:00,CHI 35,0,-10,"E.Pineiro kicks 65 yards from CHI 35 to end zone, Touchback.",kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,NA,NA,NA,0,0,0,0.0013736795911316055,0.16263150951886152,0.004440726358228023,0.25417863378642963,0.23308117414857005,0.0036557130265806544,0.34063856357019856,0,0,0.8149984757122131,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.Pineiro,00-0034173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
50,2019090500,CHI,GB,GB,away,CHI,GB,75,2019-09-05,900,1800,3600,Half1,0,1,0,1,1,0,15:00,GB 25,10,-10,(15:00) A.Jones left tackle to GB 25 for no gain (R.Smith).,run,0,0,0,0,0,0,0,NA,NA,NA,NA,left,tackle,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.0013736795911316055,0.16263150951886152,0.004440726358228023,0.25417863378642963,0.23308117414857005,0.0036557130265806544,0.34063856357019856,0,0,0.8149984757122131,-0.7643629611118659,0.7643629611118659,-0.7643629611118659,0.7643629611118659,-0.7643629611118659,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0.5000068217219346,0.49999317827806544,0.49999317827806544,0.5000068217219346,-0.020660418849310414,0.5206535971273758,0.47934640287262414,0.020660418849310414,-0.020660418849310414,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,00-0033293,A.Jones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHI,NA,00-0034874,NA,R.Smith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
71,2019090500,CHI,GB,GB,away,CHI,GB,75,2019-09-05,873,1773,3573,Half1,0,1,0,1,2,0,14:33,GB 25,10,-10,(14:33) A.Rodgers pass short left to A.Jones to GB 25 for no gain (R.Smith).,pass,0,0,0,1,0,0,0,short,left,-1,1,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00156872806775395,0.18848367220936343,0.0056962178909291195,0.2950102091847513,0.2130574291853864,0.003981612097062903,0.2922021313647528,0,0,0.05063551460034721,-0.9877343633010991,1.752097324412965,-1.752097324412965,0.7643629611118659,-0.7643629611118659,0.9877343633010991,-0.9877343633010991,-1.095211510867264,0.10747714756616489,-1.095211510867264,0.10747714756616489,1.095211510867264,-1.095211510867264,-0.10747714756616489,0.10747714756616489,1.095211510867264,-1.095211510867264,-0.10747714756616489,0.10747714756616489,0.47934640287262414,0.5206535971273758,0.5206535971273758,0.47934640287262414,-0.026088224279198657,0.5467418214065745,0.4532581785934255,0.020660418849310414,-0.020660418849310414,0.026088224279198657,-0.026088224279198657,-0.031647252484528654,0.005559028205329997,-0.031647252484528654,0.005559028205329997,0.031647252484528654,-0.031647252484528654,-0.005559028205329997,0.005559028205329997,0.031647252484528654,-0.031647252484528654,-0.005559028205329997,0.005559028205329997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0023459,A.Rodgers,00-0033293,A.Jones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHI,NA,00-0034874,NA,R.Smith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
95,2019090500,CHI,GB,GB,away,CHI,GB,75,2019-09-05,825,1725,3525,Half1,0,1,0,1,3,0,13:45,GB 25,10,-10,"(13:45) (Shotgun) A.Rodgers sacked at GB 15 for -10 yards (R.Robertson-Harris). Penalty on GB-L.Taylor, Offensive Holding, declined.",pass,-10,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.0018633665783706088,0.22627286016560927,0.006641706667927646,0.34957414782898416,0.17121635858116283,0.004529563410857344,0.2399019967670882,0,0,-0.9370988487007519,-2.2212727911812644,3.9733701155942294,-3.9733701155942294,0.7643629611118659,-0.7643629611118659,3.2090071544823635,-3.2090071544823635,NA,NA,0,0,1.095211510867264,-1.095211510867264,-0.10747714756616489,0.10747714756616489,1.095211510867264,-1.095211510867264,-0.10747714756616489,0.10747714756616489,0.4532581785934255,0.5467418214065745,0.5467418214065745,0.4532581785934255,-0.06693144054809563,0.6136732619546701,0.38632673804532985,0.020660418849310414,-0.020660418849310414,0.09301966482729429,-0.09301966482729429,NA,NA,0,0,0.031647252484528654,-0.031647252484528654,-0.005559028205329997,0.005559028205329997,0.031647252484528654,-0.031647252484528654,-0.005559028205329997,0.005559028205329997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0023459,A.Rodgers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0032667,R.Robertson-Harris,NA,NA,00-0032667,R.Robertson-Harris,NA,NA,NA,NA,NA,NA,NA,NA,CHI,NA,00-0032667,NA,R.Robertson-Harris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
125,2019090500,CHI,GB,GB,away,CHI,GB,85,2019-09-05,795,1695,3495,Half1,0,1,0,1,4,0,13:15,GB 15,20,-10,"(13:15) (Punt formation) J.Scott punts 53 yards to CHI 32, Center-H.Bradley. T.Cohen pushed ob at CHI 43 for 11 yards (A.Amos).",punt,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.0021143130536688953,0.3272854440516003,0.010957460924323254,0.46662690516705935,0.05446453164024274,0.004293012154323599,0.13425833300878176,0,0,-3.158371639882016,0.7147392873044689,3.2586308282897605,-3.2586308282897605,0.7643629611118659,-0.7643629611118659,3.2090071544823635,-3.2090071544823635,NA,NA,0,0,1.095211510867264,-1.095211510867264,-0.10747714756616489,0.10747714756616489,1.095211510867264,-1.095211510867264,-0.10747714756616489,0.10747714756616489,0.38632673804532985,0.6136732619546701,0.6136732619546701,0.38632673804532985,0.057563318268271935,0.5561099436863981,0.4438900563136018,0.020660418849310414,-0.020660418849310414,0.09301966482729429,-0.09301966482729429,NA,NA,0,0,0.031647252484528654,-0.031647252484528654,-0.005559028205329997,0.005559028205329997,0.031647252484528654,-0.031647252484528654,-0.005559028205329997,0.005559028205329997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0033556,T.Cohen,NA,NA,NA,NA,NA,NA,00-0034162,J.Scott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GB,NA,00-0031584,NA,A.Amos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHI,11,NA,NA,NA,NA,0,NA,NA,0,0,0,0
155,2019090500,CHI,GB,CHI,home,GB,CHI,57,2019-09-05,781,1681,3481,Half1,0,2,0,1,1,0,13:01,CHI 43,10,12,"(13:01) (Shotgun) T.Cohen FUMBLES (Aborted) at CHI 37, and recovers at CHI 39. PENALTY on GB-K.Clark, Defensive Holding, 5 yards, enforced at CHI 43 - No Play.",no_play,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.0014793441602567758,0.10499118584164799,9.645997808479456e-4,0.16292307061093123,0.2971222929875578,0.00360136427065531,0.42891814234810305,0,0,2.443632352577547,0.3785325739851224,3.637163402274883,-3.637163402274883,0.7643629611118659,-0.7643629611118659,3.2090071544823635,-3.2090071544823635,NA,NA,0,0,1.095211510867264,-1.095211510867264,-0.10747714756616489,0.10747714756616489,1.095211510867264,-1.095211510867264,-0.10747714756616489,0.10747714756616489,0.5561099436863982,0.4438900563136018,0.5561099436863982,0.4438900563136018,0.013390936753751359,0.5695008804401496,0.43049911955985043,0.020660418849310414,-0.020660418849310414,0.09301966482729429,-0.09301966482729429,NA,NA,0,0,0.031647252484528654,-0.031647252484528654,-0.005559028205329997,0.005559028205329997,0.031647252484528654,-0.031647252484528654,-0.005559028205329997,0.005559028205329997,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,GB,00-0033120,K.Clark,5,0,NA,Defensive Holding,0,0,0,0
195,2019090500,CHI,GB,CHI,home,GB,CHI,52,2019-09-05,753,1653,3453,Half1,0,2,0,1,1,0,12:33,CHI 48,10,12,(12:33) (Shotgun) M.Davis left guard to GB 47 for 5 yards (K.Clark; D.Lowry).,run,5,1,0,0,0,0,0,NA,NA,NA,NA,left,guard,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.0014539863671164414,0.09137533797663103,6.203706145899309e-4,0.14154009813646792,0.31228371645520436,0.003524842767705256,0.44920164768228493,0,0,2.8221649265626696,0.05928750154618312,3.696450903821066,-3.696450903821066,0.823650462658049,-0.823650462658049,3.2090071544823635,-3.2090071544823635,NA,NA,0,0,1.095211510867264,-1.095211510867264,-0.10747714756616489,0.10747714756616489,1.095211510867264,-1.095211510867264,-0.10747714756616489,0.10747714756616489,0.5695008804401496,0.43049911955985043,0.5695008804401496,0.43049911955985043,0.0033298704878684804,0.572830750928018,0.42716924907198195,0.023990289337178894,-0.023990289337178894,0.09301966482729429,-0.09301966482729429,NA,NA,0,0,0.031647252484528654,-0.031647252484528654,-0.005559028205329997,0.005559028205329997,0.031647252484528654,-0.031647252484528654,-0.005559028205329997,0.005559028205329997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,00-0032063,M.Davis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0033120,K.Clark,GB,00-0032412,D.Lowry,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
216,2019090500,CHI,GB,CHI,home,GB,GB,47,2019-09-05,718,1618,3418,Half1,0,2,0,1,2,0,11:58,GB 47,5,12,(11:58) (Shotgun) M.Trubisky pass incomplete short left to A.Robinson (P.Smith).,pass,0,1,0,1,0,0,0,short,left,2,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.0015680610405464338,0.08767912809469942,6.115092511721116e-4,0.1352336406365833,0.3284321243714382,0.0036553628003718652,0.4428201738051886,0,0,2.8814524281088527,-0.8239532100829914,2.8724976937380746,-2.8724976937380746,0.823650462658049,-0.823650462658049,2.385053944399372,-2.385053944399372,-0.6770688434104439,-0.14688436667254745,0,0,1.095211510867264,-1.095211510867264,-0.10747714756616489,0.10747714756616489,0.41814266745682005,-0.41814266745682005,-0.25436151423871234,0.25436151423871234,0.572830750928018,0.42716924907198195,0.572830750928018,0.42716924907198195,-0.025897882710168796,0.5469328682178493,0.45306713178215074,0.023990289337178894,-0.023990289337178894,0.0671217821171255,-0.0671217821171255,-0.021281046993565478,-0.004616835716603318,0,0,0.031647252484528654,-0.031647252484528654,-0.005559028205329997,0.005559028205329997,0.010366205490963176,-0.010366205490963176,-0.010175863921933315,0.010175863921933315,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0033869,M.Trubisky,00-0031428,A.Robinson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0031935,P.Smith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
238,2019090500,CHI,GB,CHI,home,GB,GB,47,2019-09-05,714,1614,3414,Half1,0,2,0,1,3,0,11:54,GB 47,5,12,(11:54) (Shotgun) M.Trubisky scrambles right tackle to GB 40 for 7 yards (R.Greene).,run,7,1,0,1,0,0,1,NA,NA,NA,NA,right,tackle,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.0017430815268653687,0.11032199555270343,9.741350201549596e-4,0.1734847906298916,0.3420496519636828,0.004265272780887618,0.36716107252581415,0,0,2.0574992180258613,1.5263559050348952,4.39885359877297,-4.39885359877297,2.350006367692944,-2.350006367692944,2.385053944399372,-2.385053944399372,NA,NA,0,0,1.095211510867264,-1.095211510867264,-0.10747714756616489,0.10747714756616489,0.41814266745682005,-0.41814266745682005,-0.25436151423871234,0.25436151423871234,0.5469328682178493,0.45306713178215074,0.5469328682178493,0.45306713178215074,0.05058257692965917,0.5975154451475084,0.40248455485249157,0.07457286626683807,-0.07457286626683807,0.0671217821171255,-0.0671217821171255,NA,NA,0,0,0.031647252484528654,-0.031647252484528654,-0.005559028205329997,0.005559028205329997,0.010366205490963176,-0.010366205490963176,-0.010175863921933315,0.010175863921933315,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,00-0033869,M.Trubisky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GB,NA,00-0034179,NA,R.Greene,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
260,2019090500,CHI,GB,CHI,home,GB,GB,40,2019-09-05,672,1572,3372,Half1,0,2,0,1,1,0,11:12,GB 40,10,12,(11:12) (Shotgun) M.Trubisky pass incomplete short left to T.Cohen.,pass,0,1,0,1,0,0,0,short,left,15,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.0014376788851043392,0.06380191989158024,2.095440799279596e-4,0.09835288414756171,0.3432312122981608,0.003262160369970604,0.4897046003276945,0,0,3.5838551230607565,-0.5263570027840747,3.872496595988895,-3.872496595988895,2.350006367692944,-2.350006367692944,1.8586969416152974,-1.8586969416152974,0.6625456745981704,-1.188902677382245,0,0,1.095211510867264,-1.095211510867264,-0.10747714756616489,0.10747714756616489,1.0806883420549904,-1.0806883420549904,-1.4432641916209574,1.4432641916209574,0.5975154451475084,0.40248455485249157,0.5975154451475084,0.40248455485249157,-0.01729946431251328,0.5802159808349951,0.41978401916500485,0.07457286626683807,-0.07457286626683807,0.049822317804612215,-0.049822317804612215,0.022757512160861526,-0.040056976473374806,0,0,0.031647252484528654,-0.031647252484528654,-0.005559028205329997,0.005559028205329997,0.0331237176518247,-0.0331237176518247,-0.05023284039530812,0.05023284039530812,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0033869,M.Trubisky,00-0033556,T.Cohen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
