Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA?,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Tim Anderson\anderti01,26,CHW,AL,123,518,498,81,167,32,0,18,56,17,5,15,109,.335,.357,.508,.865,129,253,12,3,0,2,0,*6/DH
2,Christian Yelich*\yelicch01,27,MIL,NL,130,580,489,100,161,29,3,44,97,30,2,80,118,.329,.429,.671,1.100,179,328,8,8,0,3,16,*9/7HD8
3,Ketel Marte#\marteke01,25,ARI,NL,144,628,569,97,187,36,9,32,92,10,2,53,86,.329,.389,.592,.981,149,337,7,4,0,2,2,846/H
4,DJ LeMahieu\lemahdj01,30,NYY,AL,145,655,602,109,197,33,2,26,102,5,2,46,90,.327,.375,.518,.893,136,312,14,2,1,4,0,453/HD
5,Anthony Rendon\rendoan01,29,WSN,NL,146,646,545,117,174,44,3,34,126,5,1,80,86,.319,.412,.598,1.010,153,326,13,12,0,9,8,*5/4
6,Jeff McNeil*\mcneije01,27,NYM,NL,133,567,510,83,162,38,1,23,75,5,6,35,75,.318,.384,.531,.916,144,271,5,21,0,1,2,7945/H
7,Nolan Arenado\arenano01,28,COL,NL,155,662,588,102,185,31,2,41,118,3,2,62,93,.315,.379,.583,.962,129,343,14,4,0,8,11,*5/H
8,Yoan Moncada#\moncayo01,24,CHW,AL,132,559,511,83,161,34,5,25,79,10,3,40,154,.315,.367,.548,.915,141,280,1,4,1,3,2,*5/DH
9,Bryan Reynolds#\reynobr01,24,PIT,NL,134,546,491,83,154,37,4,16,68,3,2,46,121,.314,.377,.503,.880,131,247,9,6,0,3,0,*798/H
10,Charlie Blackmon*\blackch02,32,COL,NL,140,634,580,112,182,42,7,32,86,2,5,40,104,.314,.364,.576,.940,123,334,11,9,0,5,1,*9/HD
11,Nelson Cruz\cruzne02,38,MIN,AL,120,521,454,81,141,26,0,41,108,0,1,56,131,.311,.392,.639,1.031,166,290,14,7,0,3,8,*D/H
12,Michael Brantley*\brantmi02,32,HOU,AL,148,637,575,88,179,40,2,22,90,3,2,51,66,.311,.372,.503,.875,126,289,21,7,0,4,3,*7D/9H
13,Rafael Devers*\deverra01,22,BOS,AL,156,702,647,129,201,54,4,32,115,8,8,48,119,.311,.361,.555,.916,133,359,8,4,1,2,7,*5/HD6
14,Xander Bogaerts\bogaexa01,26,BOS,AL,155,698,614,110,190,52,0,33,117,4,2,76,122,.309,.384,.555,.939,140,341,11,2,0,6,2,*6/DH
15,Kevin Newman\newmake01,25,PIT,NL,130,531,493,61,152,20,6,12,64,16,8,28,62,.308,.353,.446,.800,111,220,5,7,2,1,2,64H/57
16,Cody Bellinger*\bellico01,23,LAD,NL,156,661,558,121,170,34,3,47,115,15,5,95,108,.305,.406,.629,1.035,169,351,10,3,0,4,21,*938/H
17,Hanser Alberto\alberha01,26,BAL,AL,139,550,524,62,160,21,2,12,51,4,4,16,50,.305,.329,.422,.751,98,221,9,4,3,3,1,45/H7D19
18,J.D. Martinez\martijd02,31,BOS,AL,146,657,575,98,175,33,2,36,105,2,0,72,138,.304,.383,.557,.939,140,320,19,4,0,5,9,D97/H
19,Whit Merrifield\merriwh01,30,KCR,AL,162,735,681,105,206,41,10,16,74,20,10,45,126,.302,.348,.463,.811,112,315,8,5,0,4,5,498/D37
20,Jose Altuve\altuvjo01,29,HOU,AL,124,548,500,89,149,27,3,31,74,6,5,41,82,.298,.353,.550,.903,131,275,19,3,1,3,0,*4/DH6
21,Trea Turner\turnetr01,26,WSN,NL,122,569,521,96,155,37,5,19,57,35,5,43,113,.298,.353,.497,.850,113,259,10,3,0,2,2,*6
22,Yuli Gurriel\gourryu01,35,HOU,AL,144,612,564,85,168,40,2,31,104,5,3,37,65,.298,.343,.541,.884,126,305,12,5,0,6,2,*35/4DH
23,Alex Bregman\bregmal01,25,HOU,AL,156,690,554,122,164,37,2,41,112,5,1,119,83,.296,.423,.592,1.015,162,328,9,9,0,8,2,56/D
