"Distance","Frequency","Made","Percent"
0,19532,14415,0.738019660045054
1,27481,18794,0.683890688111786
2,17084,8934,0.522945446031374
3,8330,3431,0.411884753901561
4,5593,2152,0.384766672626497
5,5050,1966,0.389306930693069
6,4599,1825,0.396825396825397
7,4303,1717,0.399023936788287
8,3863,1555,0.402536888428682
9,3740,1569,0.41951871657754
10,3655,1511,0.413406292749658
11,3596,1512,0.420467185761958
12,3593,1462,0.406902310047314
13,3511,1468,0.418114497294218
14,3212,1310,0.407845579078456
15,3534,1452,0.410865874363328
16,3620,1473,0.406906077348066
17,3603,1499,0.416042187066334
18,3487,1466,0.420418698021222
19,3493,1380,0.39507586601775
20,2785,1124,0.40359066427289
21,1855,692,0.373045822102426
22,7061,2651,0.375442571873672
23,10192,3898,0.3824568288854
24,13031,4713,0.361676003376564
25,24799,8764,0.353401346828501
26,14253,4980,0.349400126289202
27,5853,2012,0.34375533914232
28,2258,767,0.339681133746678
29,944,301,0.31885593220339
30,414,121,0.292270531400966
31,201,56,0.278606965174129
32,124,38,0.306451612903226
33,67,10,0.149253731343284
34,51,9,0.176470588235294
35,37,3,0.0810810810810811
36,27,5,0.185185185185185
37,23,3,0.130434782608696
38,32,2,0.0625
39,30,3,0.1
40,20,3,0.15
41,19,1,0.0526315789473684
42,25,1,0.04
43,23,0,0
44,20,0,0
45,27,3,0.111111111111111
46,24,1,0.0416666666666667
47,35,4,0.114285714285714
48,24,1,0.0416666666666667
49,31,0,0
50,18,1,0.0555555555555556
51,21,1,0.0476190476190476
52,22,0,0
53,13,0,0
54,11,0,0
55,16,0,0
56,15,1,0.0666666666666667
57,14,0,0
58,12,0,0
59,14,0,0
60,15,2,0.133333333333333
61,15,0,0
62,7,0,0
63,8,0,0
64,10,0,0
65,7,0,0
66,7,0,0
67,4,0,0
68,16,0,0
69,5,0,0
70,7,0,0
71,7,0,0
72,4,0,0
74,6,0,0
75,4,0,0
76,2,0,0
77,2,0,0
78,2,0,0
79,2,0,0
80,1,0,0
81,3,0,0
83,2,0,0
84,1,0,0
86,1,0,0
