"Distance","Frequency","Made","Percent"
0,27,18,0.666666666666667
1,75,53,0.706666666666667
2,90,54,0.6
3,42,22,0.523809523809524
4,19,10,0.526315789473684
5,12,3,0.25
6,13,8,0.615384615384615
7,15,6,0.4
8,9,4,0.444444444444444
9,17,8,0.470588235294118
10,10,3,0.3
11,11,4,0.363636363636364
12,12,7,0.583333333333333
13,10,5,0.5
14,9,4,0.444444444444444
15,11,4,0.363636363636364
16,14,7,0.5
17,20,10,0.5
18,26,7,0.269230769230769
19,38,19,0.5
20,26,14,0.538461538461538
21,13,4,0.307692307692308
22,54,30,0.555555555555556
23,80,36,0.45
24,71,39,0.549295774647887
25,178,82,0.460674157303371
26,150,64,0.426666666666667
27,122,45,0.368852459016393
28,66,31,0.46969696969697
29,38,12,0.315789473684211
30,17,6,0.352941176470588
31,19,9,0.473684210526316
32,4,2,0.5
33,5,1,0.2
34,2,0,0
35,1,0,0
36,0,0,NA
37,1,0,0
38,1,0,0
39,0,0,NA
40,0,0,NA
41,1,0,0
42,0,0,NA
43,0,0,NA
44,0,0,NA
45,1,0,0
46,0,0,NA
47,1,0,0
48,1,0,0
49,1,0,0
50,0,0,NA
51,0,0,NA
52,0,0,NA
53,1,0,0
54,1,0,0
55,0,0,NA
56,0,0,NA
57,0,0,NA
58,1,0,0
59,0,0,NA
60,1,1,1
61,1,0,0
62,0,0,NA
63,0,0,NA
64,0,0,NA
65,1,0,0
66,0,0,NA
67,0,0,NA
68,0,0,NA
69,0,0,NA
70,0,0,NA
71,1,0,0
72,0,0,NA
74,0,0,NA
75,0,0,NA
76,0,0,NA
77,0,0,NA
78,0,0,NA
79,0,0,NA
80,0,0,NA
81,0,0,NA
83,0,0,NA
84,0,0,NA
86,0,0,NA
