"Distance","Frequency","Made","Percent"
0,243,208,0.8559670781893
1,333,267,0.801801801801802
2,139,74,0.532374100719424
3,54,18,0.333333333333333
4,34,16,0.470588235294118
5,27,8,0.296296296296296
6,22,10,0.454545454545455
7,20,3,0.15
8,20,5,0.25
9,12,5,0.416666666666667
10,8,4,0.5
11,14,7,0.5
12,10,5,0.5
13,13,3,0.230769230769231
14,10,4,0.4
15,7,0,0
16,5,4,0.8
17,16,7,0.4375
18,15,6,0.4
19,27,11,0.407407407407407
20,11,3,0.272727272727273
21,4,1,0.25
22,2,0,0
23,6,1,0.166666666666667
24,18,6,0.333333333333333
25,66,14,0.212121212121212
26,67,20,0.298507462686567
27,36,9,0.25
28,5,2,0.4
29,1,0,0
30,1,0,0
31,0,0,NA
32,0,0,NA
33,0,0,NA
34,0,0,NA
35,0,0,NA
36,0,0,NA
37,0,0,NA
38,0,0,NA
39,0,0,NA
40,0,0,NA
41,0,0,NA
42,0,0,NA
43,0,0,NA
44,0,0,NA
45,0,0,NA
46,0,0,NA
47,1,0,0
48,0,0,NA
49,0,0,NA
50,0,0,NA
51,0,0,NA
52,0,0,NA
53,0,0,NA
54,0,0,NA
55,0,0,NA
56,0,0,NA
57,0,0,NA
58,0,0,NA
59,0,0,NA
60,0,0,NA
61,0,0,NA
62,0,0,NA
63,0,0,NA
64,0,0,NA
65,0,0,NA
66,0,0,NA
67,0,0,NA
68,0,0,NA
69,0,0,NA
70,0,0,NA
71,0,0,NA
72,0,0,NA
74,0,0,NA
75,0,0,NA
76,0,0,NA
77,0,0,NA
78,0,0,NA
79,0,0,NA
80,0,0,NA
81,0,0,NA
83,0,0,NA
84,0,0,NA
86,0,0,NA
