"Distance","Frequency","Made","Percent"
0,193,151,0.782383419689119
1,228,176,0.771929824561403
2,159,104,0.654088050314465
3,46,18,0.391304347826087
4,33,12,0.363636363636364
5,16,7,0.4375
6,12,5,0.416666666666667
7,6,0,0
8,3,1,0.333333333333333
9,3,0,0
10,3,0,0
11,3,0,0
12,0,0,NA
13,0,0,NA
14,1,1,1
15,1,0,0
16,2,0,0
17,1,0,0
18,0,0,NA
19,1,1,1
20,1,0,0
21,0,0,NA
22,0,0,NA
23,0,0,NA
24,0,0,NA
25,0,0,NA
26,0,0,NA
27,0,0,NA
28,0,0,NA
29,0,0,NA
30,0,0,NA
31,0,0,NA
32,0,0,NA
33,0,0,NA
34,0,0,NA
35,0,0,NA
36,0,0,NA
37,0,0,NA
38,0,0,NA
39,0,0,NA
40,0,0,NA
41,0,0,NA
42,0,0,NA
43,0,0,NA
44,0,0,NA
45,0,0,NA
46,0,0,NA
47,0,0,NA
48,0,0,NA
49,0,0,NA
50,0,0,NA
51,0,0,NA
52,0,0,NA
53,0,0,NA
54,0,0,NA
55,0,0,NA
56,0,0,NA
57,0,0,NA
58,0,0,NA
59,0,0,NA
60,0,0,NA
61,0,0,NA
62,0,0,NA
63,0,0,NA
64,0,0,NA
65,0,0,NA
66,0,0,NA
67,0,0,NA
68,0,0,NA
69,0,0,NA
70,0,0,NA
71,0,0,NA
72,0,0,NA
74,0,0,NA
75,0,0,NA
76,0,0,NA
77,0,0,NA
78,0,0,NA
79,0,0,NA
80,0,0,NA
81,0,0,NA
83,0,0,NA
84,0,0,NA
86,0,0,NA
