"Distance","Frequency","Made","Percent"
0,89,62,0.696629213483146
1,216,131,0.606481481481482
2,145,76,0.524137931034483
3,69,36,0.521739130434783
4,61,21,0.344262295081967
5,56,30,0.535714285714286
6,45,22,0.488888888888889
7,33,16,0.484848484848485
8,28,11,0.392857142857143
9,23,12,0.521739130434783
10,20,6,0.3
11,22,10,0.454545454545455
12,13,9,0.692307692307692
13,10,5,0.5
14,6,3,0.5
15,10,3,0.3
16,4,2,0.5
17,9,5,0.555555555555556
18,3,0,0
19,7,2,0.285714285714286
20,7,3,0.428571428571429
21,3,0,0
22,26,13,0.5
23,53,13,0.245283018867925
24,120,43,0.358333333333333
25,292,115,0.393835616438356
26,277,103,0.371841155234657
27,137,52,0.37956204379562
28,60,20,0.333333333333333
29,32,11,0.34375
30,12,3,0.25
31,9,3,0.333333333333333
32,5,1,0.2
33,1,0,0
34,2,1,0.5
35,2,0,0
36,0,0,NA
37,0,0,NA
38,0,0,NA
39,0,0,NA
40,1,0,0
41,0,0,NA
42,0,0,NA
43,0,0,NA
44,0,0,NA
45,0,0,NA
46,0,0,NA
47,0,0,NA
48,1,0,0
49,0,0,NA
50,0,0,NA
51,0,0,NA
52,0,0,NA
53,0,0,NA
54,0,0,NA
55,0,0,NA
56,0,0,NA
57,0,0,NA
58,0,0,NA
59,0,0,NA
60,0,0,NA
61,0,0,NA
62,0,0,NA
63,0,0,NA
64,0,0,NA
65,0,0,NA
66,0,0,NA
67,0,0,NA
68,0,0,NA
69,0,0,NA
70,0,0,NA
71,0,0,NA
72,0,0,NA
74,0,0,NA
75,0,0,NA
76,0,0,NA
77,0,0,NA
78,0,0,NA
79,0,0,NA
80,0,0,NA
81,0,0,NA
83,0,0,NA
84,0,0,NA
86,0,0,NA
