"Distance","Frequency","Made","Percent"
0,84,64,0.761904761904762
1,106,72,0.679245283018868
2,58,22,0.379310344827586
3,52,28,0.538461538461538
4,37,12,0.324324324324324
5,38,12,0.315789473684211
6,35,22,0.628571428571429
7,30,13,0.433333333333333
8,24,9,0.375
9,38,19,0.5
10,30,10,0.333333333333333
11,22,12,0.545454545454545
12,21,10,0.476190476190476
13,24,7,0.291666666666667
14,12,3,0.25
15,11,2,0.181818181818182
16,10,8,0.8
17,13,3,0.230769230769231
18,7,3,0.428571428571429
19,3,1,0.333333333333333
20,9,3,0.333333333333333
21,7,3,0.428571428571429
22,17,8,0.470588235294118
23,16,8,0.5
24,73,24,0.328767123287671
25,136,44,0.323529411764706
26,125,39,0.312
27,52,15,0.288461538461538
28,42,17,0.404761904761905
29,23,9,0.391304347826087
30,3,1,0.333333333333333
31,7,0,0
32,1,0,0
33,2,0,0
34,0,0,NA
35,0,0,NA
36,1,1,1
37,1,0,0
38,1,1,1
39,0,0,NA
40,0,0,NA
41,0,0,NA
42,0,0,NA
43,1,0,0
44,0,0,NA
45,1,0,0
46,0,0,NA
47,2,0,0
48,1,0,0
49,0,0,NA
50,1,0,0
51,1,1,1
52,0,0,NA
53,0,0,NA
54,2,0,0
55,0,0,NA
56,0,0,NA
57,0,0,NA
58,0,0,NA
59,1,0,0
60,0,0,NA
61,0,0,NA
62,1,0,0
63,2,0,0
64,0,0,NA
65,0,0,NA
66,0,0,NA
67,0,0,NA
68,0,0,NA
69,0,0,NA
70,0,0,NA
71,0,0,NA
72,0,0,NA
74,1,0,0
75,0,0,NA
76,0,0,NA
77,0,0,NA
78,1,0,0
79,0,0,NA
80,0,0,NA
81,0,0,NA
83,0,0,NA
84,0,0,NA
86,0,0,NA
