"Distance","Frequency","Made","Percent"
0,175,131,0.748571428571429
1,240,187,0.779166666666667
2,131,66,0.50381679389313
3,88,41,0.465909090909091
4,48,18,0.375
5,51,20,0.392156862745098
6,36,14,0.388888888888889
7,30,15,0.5
8,38,16,0.421052631578947
9,24,11,0.458333333333333
10,21,7,0.333333333333333
11,17,5,0.294117647058824
12,16,2,0.125
13,11,3,0.272727272727273
14,6,1,0.166666666666667
15,3,1,0.333333333333333
16,7,0,0
17,6,1,0.166666666666667
18,2,0,0
19,3,0,0
20,0,0,NA
21,1,1,1
22,0,0,NA
23,0,0,NA
24,0,0,NA
25,1,0,0
26,1,0,0
27,0,0,NA
28,1,0,0
29,1,0,0
30,1,0,0
31,1,0,0
32,0,0,NA
33,0,0,NA
34,0,0,NA
35,0,0,NA
36,0,0,NA
37,0,0,NA
38,0,0,NA
39,0,0,NA
40,0,0,NA
41,0,0,NA
42,0,0,NA
43,0,0,NA
44,0,0,NA
45,0,0,NA
46,0,0,NA
47,0,0,NA
48,0,0,NA
49,0,0,NA
50,0,0,NA
51,0,0,NA
52,0,0,NA
53,0,0,NA
54,0,0,NA
55,0,0,NA
56,0,0,NA
57,0,0,NA
58,0,0,NA
59,0,0,NA
60,0,0,NA
61,0,0,NA
62,0,0,NA
63,0,0,NA
64,0,0,NA
65,0,0,NA
66,0,0,NA
67,0,0,NA
68,0,0,NA
69,0,0,NA
70,0,0,NA
71,0,0,NA
72,0,0,NA
74,0,0,NA
75,0,0,NA
76,0,0,NA
77,0,0,NA
78,0,0,NA
79,0,0,NA
80,0,0,NA
81,0,0,NA
83,0,0,NA
84,0,0,NA
86,0,0,NA
