"Distance","Frequency","Made","Percent"
0,141,105,0.74468085106383
1,266,177,0.665413533834586
2,124,64,0.516129032258065
3,22,3,0.136363636363636
4,19,1,0.0526315789473684
5,14,1,0.0714285714285714
6,15,5,0.333333333333333
7,17,5,0.294117647058824
8,15,5,0.333333333333333
9,28,6,0.214285714285714
10,20,12,0.6
11,26,6,0.230769230769231
12,42,15,0.357142857142857
13,43,18,0.418604651162791
14,35,12,0.342857142857143
15,46,9,0.195652173913043
16,52,16,0.307692307692308
17,43,17,0.395348837209302
18,38,14,0.368421052631579
19,22,8,0.363636363636364
20,23,7,0.304347826086957
21,8,3,0.375
22,23,7,0.304347826086957
23,28,12,0.428571428571429
24,99,30,0.303030303030303
25,158,44,0.278481012658228
26,68,22,0.323529411764706
27,22,3,0.136363636363636
28,9,1,0.111111111111111
29,1,1,1
30,2,0,0
31,0,0,NA
32,1,1,1
33,0,0,NA
34,0,0,NA
35,1,0,0
36,1,0,0
37,1,0,0
38,0,0,NA
39,0,0,NA
40,0,0,NA
41,0,0,NA
42,0,0,NA
43,0,0,NA
44,0,0,NA
45,0,0,NA
46,0,0,NA
47,0,0,NA
48,0,0,NA
49,0,0,NA
50,0,0,NA
51,0,0,NA
52,0,0,NA
53,0,0,NA
54,0,0,NA
55,0,0,NA
56,0,0,NA
57,0,0,NA
58,0,0,NA
59,0,0,NA
60,0,0,NA
61,0,0,NA
62,0,0,NA
63,0,0,NA
64,0,0,NA
65,0,0,NA
66,0,0,NA
67,0,0,NA
68,0,0,NA
69,0,0,NA
70,0,0,NA
71,0,0,NA
72,0,0,NA
74,0,0,NA
75,0,0,NA
76,0,0,NA
77,0,0,NA
78,0,0,NA
79,0,0,NA
80,0,0,NA
81,0,0,NA
83,0,0,NA
84,0,0,NA
86,0,0,NA
